model_name,ann,son,mam,jja,djf
ACCESS1-0,1.142,1.318,1.37,1.426,1.399
ACCESS1-3,1.197,1.481,1.506,1.474,1.541
bcc-csm1-1,1.165,1.327,1.472,1.442,1.406
bcc-csm1-1-m,1.3,1.347,1.52,1.701,1.405
BNU-ESM,1.089,1.242,1.338,1.274,1.352
CanCM4,1.152,1.374,1.339,1.25,1.359
CanESM2,1.153,1.301,1.371,1.278,1.382
CCSM4,1.069,1.193,1.421,1.301,1.255
CESM1-BGC,1.089,1.236,1.517,1.327,1.254
CESM1-CAM5,1.063,1.168,1.301,1.281,1.277
CESM1-FASTCHEM,1.062,1.218,1.449,1.282,1.235
CESM1-WACCM,1.119,1.173,1.36,1.353,1.374
CMCC-CESM,1.381,1.45,1.69,1.866,1.494
CMCC-CM,1.185,1.316,1.492,1.547,1.445
CMCC-CMS,1.146,1.276,1.485,1.465,1.318
CNRM-CM5,1.111,1.083,1.331,1.246,1.327
CSIRO-Mk3-6-0,1.54,1.643,1.779,1.916,1.78
FGOALS-g2,1.026,1.176,1.091,1.459,1.182
FIO-ESM,1.117,1.168,1.406,1.433,1.531
GFDL-CM2p1,1.274,1.546,1.512,1.542,1.383
GFDL-CM3,1.196,1.355,1.755,1.35,1.439
GFDL-ESM2G,1.367,1.522,1.665,1.535,1.545
GFDL-ESM2M,1.235,1.444,1.561,1.447,1.396
GISS-E2-H-CC,1.54,1.593,1.789,1.959,1.849
GISS-E2-H,1.533,1.591,1.805,1.91,1.82
GISS-E2-R-CC,1.517,1.543,1.73,1.821,1.73
GISS-E2-R,1.496,1.532,1.702,1.792,1.692
HadCM3,1.302,1.435,1.503,1.492,1.448
HadGEM2-AO,1.098,1.383,1.45,1.356,1.358
HadGEM2-CC,1.091,1.364,1.426,1.353,1.36
HadGEM2-ES,1.082,1.365,1.366,1.366,1.335
inmcm4,1.526,1.818,1.701,1.897,1.562
IPSL-CM5A-LR,1.287,1.398,1.657,1.523,1.395
IPSL-CM5A-MR,1.34,1.462,1.719,1.562,1.46
IPSL-CM5B-LR,1.17,1.385,1.705,1.548,1.365
MIROC4h,1.036,1.126,1.26,1.34,1.284
MIROC5,1.07,1.176,1.221,1.397,1.35
MIROC-ESM-CHEM,1.206,1.429,1.217,1.416,1.534
MIROC-ESM,1.235,1.446,1.264,1.479,1.547
MPI-ESM-LR,1.343,1.297,1.605,1.569,1.606
MPI-ESM-MR,1.331,1.328,1.613,1.583,1.627
MPI-ESM-P,1.371,1.314,1.627,1.606,1.638
NorESM1-ME,1.146,1.269,1.537,1.395,1.483
NorESM1-M,1.182,1.33,1.643,1.388,1.476
