model_name,ann,son,mam,jja,djf
ACCESS1-0,0.396,0.355,0.423,0.43,0.375
ACCESS1-3,0.479,0.452,0.491,0.513,0.46
bcc-csm1-1,0.157,0.132,0.172,0.144,0.181
bcc-csm1-1-m,0.19,0.156,0.207,0.18,0.217
BNU-ESM,0.361,0.326,0.398,0.329,0.392
CanCM4,0.083,0.025,0.098,0.123,0.085
CanESM2,0.074,0.033,0.084,0.1,0.081
CCSM4,0.292,0.25,0.277,0.316,0.326
CESM1-BGC,0.295,0.252,0.277,0.316,0.336
CESM1-CAM5,0.356,0.312,0.36,0.387,0.365
CESM1-FASTCHEM,0.299,0.258,0.283,0.324,0.331
CESM1-WACCM,0.179,0.139,0.177,0.208,0.19
CMCC-CESM,0.199,0.149,0.214,0.257,0.177
CMCC-CM,0.22,0.167,0.237,0.284,0.194
CMCC-CMS,0.241,0.196,0.256,0.3,0.214
CNRM-CM5,0.375,0.324,0.378,0.391,0.407
CSIRO-Mk3-6-0,0.203,0.148,0.248,0.241,0.178
FGOALS-g2,0.141,0.112,0.17,0.151,0.133
FIO-ESM,0.332,0.31,0.332,0.325,0.36
GFDL-CM2p1,0.237,0.203,0.27,0.223,0.251
GFDL-CM3,0.307,0.268,0.319,0.32,0.323
GFDL-ESM2G,0.29,0.257,0.301,0.324,0.279
GFDL-ESM2M,0.308,0.276,0.321,0.328,0.307
GISS-E2-H-CC,0.532,0.51,0.557,0.518,0.541
GISS-E2-H,0.536,0.512,0.559,0.531,0.543
GISS-E2-R-CC,0.499,0.483,0.516,0.506,0.491
GISS-E2-R,0.498,0.482,0.515,0.503,0.492
HadCM3,0.223,0.183,0.249,0.278,0.182
HadGEM2-AO,0.417,0.374,0.436,0.46,0.4
HadGEM2-CC,0.356,0.305,0.372,0.412,0.335
HadGEM2-ES,0.382,0.337,0.395,0.432,0.362
inmcm4,0.479,0.458,0.505,0.477,0.478
IPSL-CM5A-LR,0.037,-0.005,0.051,0.079,0.024
IPSL-CM5A-MR,0.117,0.073,0.132,0.147,0.116
IPSL-CM5B-LR,0.124,0.101,0.128,0.142,0.125
MIROC4h,0.27,0.215,0.302,0.325,0.239
MIROC5,0.523,0.486,0.54,0.581,0.485
MIROC-ESM-CHEM,0.094,0.058,0.132,0.101,0.088
MIROC-ESM,0.109,0.069,0.143,0.12,0.107
MPI-ESM-LR,0.264,0.214,0.264,0.318,0.26
MPI-ESM-MR,0.313,0.268,0.312,0.369,0.305
MPI-ESM-P,0.255,0.211,0.254,0.31,0.248
NorESM1-ME,0.113,0.074,0.108,0.131,0.141
NorESM1-M,0.133,0.091,0.129,0.15,0.161
