model_name,ann,son,mam,jja,djf
ACCESS1-0,0.761,0.888,0.926,1.012,0.907
ACCESS1-3,0.798,0.977,1.005,1.053,0.995
bcc-csm1-1,0.796,0.913,0.972,1.035,0.967
bcc-csm1-1-m,0.855,0.916,1.013,1.157,0.965
BNU-ESM,0.837,0.958,1.027,1.017,1.027
CanCM4,0.778,0.949,0.899,0.91,0.911
CanESM2,0.779,0.905,0.906,0.922,0.918
CCSM4,0.706,0.807,0.919,0.915,0.854
CESM1-BGC,0.717,0.827,0.963,0.929,0.853
CESM1-CAM5,0.706,0.779,0.857,0.917,0.839
CESM1-FASTCHEM,0.707,0.825,0.93,0.902,0.851
CESM1-WACCM,0.77,0.837,0.921,0.976,0.945
CMCC-CESM,0.956,1.024,1.158,1.268,1.037
CMCC-CM,0.777,0.877,0.967,1.022,0.947
CMCC-CMS,0.778,0.872,0.988,0.998,0.904
CNRM-CM5,0.782,0.791,0.902,0.985,0.911
CSIRO-Mk3-6-0,0.983,1.089,1.128,1.261,1.13
FGOALS-g2,0.79,0.897,0.833,1.056,0.904
FIO-ESM,0.816,0.882,1.022,1.035,1.089
GFDL-CM2p1,0.833,1.011,0.976,1.053,0.908
GFDL-CM3,0.794,0.912,1.099,0.965,0.936
GFDL-ESM2G,0.881,1.002,1.049,1.047,0.992
GFDL-ESM2M,0.825,0.967,1.006,1.021,0.916
GISS-E2-H-CC,0.984,1.046,1.126,1.297,1.176
GISS-E2-H,0.994,1.058,1.153,1.286,1.171
GISS-E2-R-CC,0.969,1.01,1.102,1.221,1.106
GISS-E2-R,0.958,1.011,1.085,1.202,1.084
HadCM3,0.864,0.985,0.98,1.041,0.965
HadGEM2-AO,0.742,0.908,0.957,0.996,0.882
HadGEM2-CC,0.746,0.907,0.936,0.997,0.9
HadGEM2-ES,0.732,0.905,0.905,0.999,0.87
inmcm4,0.991,1.167,1.118,1.266,1.039
IPSL-CM5A-LR,0.885,0.984,1.103,1.075,0.955
IPSL-CM5A-MR,0.9,1.004,1.132,1.084,0.967
IPSL-CM5B-LR,0.855,0.98,1.14,1.142,0.978
MIROC4h,0.712,0.793,0.849,0.969,0.87
MIROC5,0.798,0.871,0.909,1.097,0.924
MIROC-ESM-CHEM,0.861,1.013,0.891,1.045,1.058
MIROC-ESM,0.878,1.021,0.915,1.083,1.06
MPI-ESM-LR,0.873,0.881,1.049,1.06,1.036
MPI-ESM-MR,0.862,0.893,1.045,1.062,1.052
MPI-ESM-P,0.884,0.89,1.057,1.078,1.055
NorESM1-ME,0.794,0.892,1.023,0.987,1.003
NorESM1-M,0.812,0.922,1.075,0.988,0.996
