model_name,ann,son,mam,jja,djf
ACCESS1-0,3.07,3.026,3.071,3.133,3.048
ACCESS1-3,3.153,3.124,3.138,3.216,3.133
bcc-csm1-1,2.831,2.803,2.819,2.847,2.854
bcc-csm1-1-m,2.864,2.827,2.854,2.884,2.89
BNU-ESM,3.035,2.997,3.045,3.033,3.064
CanCM4,2.757,2.697,2.746,2.826,2.758
CanESM2,2.748,2.705,2.731,2.803,2.754
CCSM4,2.966,2.921,2.924,3.019,2.999
CESM1-BGC,2.969,2.923,2.924,3.019,3.009
CESM1-CAM5,3.03,2.983,3.007,3.09,3.038
CESM1-FASTCHEM,2.973,2.93,2.93,3.027,3.004
CESM1-WACCM,2.852,2.81,2.824,2.912,2.863
CMCC-CESM,2.873,2.82,2.861,2.96,2.85
CMCC-CM,2.894,2.838,2.884,2.987,2.867
CMCC-CMS,2.915,2.867,2.903,3.003,2.887
CNRM-CM5,3.049,2.995,3.026,3.094,3.08
CSIRO-Mk3-6-0,2.877,2.819,2.895,2.944,2.851
FGOALS-g2,2.815,2.783,2.817,2.854,2.806
FIO-ESM,3.005,2.981,2.979,3.029,3.033
GFDL-CM2p1,2.91,2.874,2.917,2.926,2.924
GFDL-CM3,2.981,2.94,2.966,3.023,2.996
GFDL-ESM2G,2.964,2.929,2.948,3.027,2.952
GFDL-ESM2M,2.982,2.947,2.968,3.032,2.98
GISS-E2-H-CC,3.205,3.181,3.204,3.221,3.214
GISS-E2-H,3.21,3.183,3.206,3.234,3.216
GISS-E2-R-CC,3.173,3.154,3.163,3.209,3.164
GISS-E2-R,3.172,3.153,3.162,3.207,3.165
HadCM3,2.897,2.854,2.896,2.981,2.855
HadGEM2-AO,3.091,3.045,3.084,3.163,3.073
HadGEM2-CC,3.03,2.977,3.019,3.115,3.008
HadGEM2-ES,3.055,3.009,3.042,3.136,3.035
inmcm4,3.153,3.129,3.152,3.18,3.151
IPSL-CM5A-LR,2.711,2.666,2.698,2.782,2.697
IPSL-CM5A-MR,2.791,2.744,2.78,2.851,2.789
IPSL-CM5B-LR,2.798,2.772,2.775,2.845,2.798
MIROC4h,2.944,2.886,2.949,3.028,2.912
MIROC5,3.197,3.157,3.187,3.284,3.158
MIROC-ESM-CHEM,2.768,2.729,2.779,2.804,2.761
MIROC-ESM,2.783,2.741,2.79,2.823,2.78
MPI-ESM-LR,2.938,2.885,2.912,3.021,2.933
MPI-ESM-MR,2.987,2.939,2.96,3.072,2.978
MPI-ESM-P,2.929,2.882,2.901,3.013,2.921
NorESM1-ME,2.787,2.745,2.755,2.834,2.814
NorESM1-M,2.807,2.762,2.777,2.853,2.834
