model_name,ann,son,mam,jja,djf
ACCESS1-0,1.293,1.594,1.654,1.717,1.701
ACCESS1-3,1.342,1.769,1.738,1.745,1.895
bcc-csm1-1,1.228,1.471,1.665,1.662,1.614
bcc-csm1-1-m,1.389,1.475,1.72,1.948,1.688
BNU-ESM,1.252,1.437,1.581,1.58,1.564
CanCM4,1.254,1.558,1.529,1.532,1.555
CanESM2,1.257,1.488,1.575,1.557,1.569
CCSM4,1.065,1.275,1.505,1.456,1.359
CESM1-BGC,1.106,1.343,1.588,1.508,1.379
CESM1-CAM5,1.083,1.248,1.433,1.44,1.382
CESM1-FASTCHEM,1.079,1.316,1.517,1.472,1.368
CESM1-WACCM,1.15,1.294,1.532,1.549,1.505
CMCC-CESM,1.518,1.684,1.886,2.213,1.728
CMCC-CM,1.253,1.516,1.691,1.852,1.633
CMCC-CMS,1.223,1.495,1.646,1.771,1.499
CNRM-CM5,1.144,1.228,1.451,1.465,1.448
CSIRO-Mk3-6-0,1.733,2.025,2.077,2.34,2.111
FGOALS-g2,1.152,1.341,1.264,1.763,1.373
FIO-ESM,1.236,1.33,1.59,1.657,1.685
GFDL-CM2p1,1.349,1.692,1.667,1.752,1.6
GFDL-CM3,1.261,1.496,1.895,1.592,1.635
GFDL-ESM2G,1.444,1.682,1.835,1.769,1.803
GFDL-ESM2M,1.263,1.553,1.71,1.633,1.548
GISS-E2-H-CC,1.718,1.818,2.029,2.24,2.082
GISS-E2-H,1.685,1.791,2.002,2.195,2.034
GISS-E2-R-CC,1.571,1.608,1.86,2.02,1.897
GISS-E2-R,1.554,1.61,1.841,1.997,1.864
HadCM3,1.49,1.691,1.7,1.826,1.724
HadGEM2-AO,1.174,1.628,1.719,1.647,1.622
HadGEM2-CC,1.158,1.581,1.641,1.664,1.599
HadGEM2-ES,1.157,1.622,1.619,1.686,1.611
inmcm4,1.547,1.872,1.784,1.991,1.695
IPSL-CM5A-LR,1.327,1.538,1.774,1.766,1.583
IPSL-CM5A-MR,1.391,1.609,1.816,1.827,1.647
IPSL-CM5B-LR,1.291,1.605,1.895,1.815,1.626
MIROC4h,1.132,1.306,1.462,1.669,1.436
MIROC5,1.175,1.352,1.355,1.708,1.557
MIROC-ESM-CHEM,1.269,1.549,1.316,1.774,1.674
MIROC-ESM,1.293,1.571,1.346,1.832,1.679
MPI-ESM-LR,1.458,1.544,1.809,1.919,1.841
MPI-ESM-MR,1.405,1.565,1.773,1.913,1.845
MPI-ESM-P,1.497,1.564,1.832,1.98,1.875
NorESM1-ME,1.183,1.414,1.595,1.625,1.613
NorESM1-M,1.209,1.455,1.694,1.634,1.644
