model_name,ann
ACCESS1-0,1.867
ACCESS1-3,1.991
bcc-csm1-1,1.787
bcc-csm1-1-m,1.868
BNU-ESM,1.701
CanCM4,1.69
CanESM2,1.698
CCSM4,1.597
CESM1-BGC,1.658
CESM1-CAM5,1.54
CESM1-FASTCHEM,1.619
CESM1-WACCM,1.637
CMCC-CESM,2.04
CMCC-CM,1.857
CMCC-CMS,1.764
CNRM-CM5,1.522
CSIRO-Mk3-6-0,2.309
FGOALS-g2,1.602
FIO-ESM,1.753
GFDL-CM2p1,1.846
GFDL-CM3,1.863
GFDL-ESM2G,1.956
GFDL-ESM2M,1.792
GISS-E2-H-CC,2.197
GISS-E2-H,2.157
GISS-E2-R-CC,1.991
GISS-E2-R,1.977
HadCM3,1.857
HadGEM2-AO,1.898
HadGEM2-CC,1.849
HadGEM2-ES,1.853
inmcm4,1.961
IPSL-CM5A-LR,1.833
IPSL-CM5A-MR,1.894
IPSL-CM5B-LR,1.973
MIROC4h,1.627
MIROC5,1.647
MIROC-ESM-CHEM,1.727
MIROC-ESM,1.759
MPI-ESM-LR,1.921
MPI-ESM-MR,1.93
MPI-ESM-P,1.959
NorESM1-ME,1.748
NorESM1-M,1.804
