model_name,ann
ACCESS1-0,0.626
ACCESS1-3,0.642
bcc-csm1-1,0.432
bcc-csm1-1-m,0.48
BNU-ESM,0.569
CanCM4,0.399
CanESM2,0.427
CCSM4,0.447
CESM1-BGC,0.465
CESM1-CAM5,0.475
CESM1-FASTCHEM,0.454
CESM1-WACCM,0.435
CMCC-CESM,0.594
CMCC-CM,0.392
CMCC-CMS,0.432
CNRM-CM5,0.462
CSIRO-Mk3-6-0,0.558
FGOALS-g2,0.434
FIO-ESM,0.591
GFDL-CM2p1,0.52
GFDL-CM3,0.522
GFDL-ESM2G,0.519
GFDL-ESM2M,0.521
GISS-E2-H-CC,0.815
GISS-E2-H,0.779
GISS-E2-R-CC,0.749
GISS-E2-R,0.75
HadCM3,0.522
HadGEM2-AO,0.552
HadGEM2-CC,0.504
HadGEM2-ES,0.518
inmcm4,0.697
IPSL-CM5A-LR,0.407
IPSL-CM5A-MR,0.426
IPSL-CM5B-LR,0.414
MIROC4h,0.485
MIROC5,0.606
MIROC-ESM-CHEM,0.405
MIROC-ESM,0.427
MPI-ESM-LR,0.601
MPI-ESM-MR,0.597
MPI-ESM-P,0.589
NorESM1-ME,0.418
NorESM1-M,0.416
