model_name,ann,son,mam,jja,djf
ACCESS1-0,1.877,2.146,2.009,2.437,2.3
ACCESS1-3,1.877,2.146,2.009,2.437,2.3
bcc-csm1-1,1.877,2.146,2.009,2.437,2.3
bcc-csm1-1-m,1.877,2.146,2.009,2.437,2.3
BNU-ESM,1.877,2.146,2.009,2.437,2.3
CanCM4,1.877,2.146,2.009,2.437,2.3
CanESM2,1.877,2.146,2.009,2.437,2.3
CCSM4,1.877,2.146,2.009,2.437,2.3
CESM1-BGC,1.877,2.146,2.009,2.437,2.3
CESM1-CAM5,1.877,2.146,2.009,2.437,2.3
CESM1-FASTCHEM,1.877,2.146,2.009,2.437,2.3
CESM1-WACCM,1.877,2.146,2.009,2.437,2.3
CMCC-CESM,1.877,2.146,2.009,2.437,2.3
CMCC-CM,1.877,2.146,2.009,2.437,2.3
CMCC-CMS,1.877,2.146,2.009,2.437,2.3
CNRM-CM5,1.877,2.146,2.009,2.437,2.3
CSIRO-Mk3-6-0,1.877,2.146,2.009,2.437,2.3
FGOALS-g2,1.877,2.146,2.009,2.437,2.3
FIO-ESM,1.877,2.146,2.009,2.437,2.3
GFDL-CM2p1,1.877,2.146,2.009,2.437,2.3
GFDL-CM3,1.877,2.146,2.009,2.437,2.3
GFDL-ESM2G,1.877,2.146,2.009,2.437,2.3
GFDL-ESM2M,1.877,2.146,2.009,2.437,2.3
GISS-E2-H-CC,1.877,2.146,2.009,2.437,2.3
GISS-E2-H,1.877,2.146,2.009,2.437,2.3
GISS-E2-R-CC,1.877,2.146,2.009,2.437,2.3
GISS-E2-R,1.877,2.146,2.009,2.437,2.3
HadCM3,1.877,2.146,2.009,2.437,2.3
HadGEM2-AO,1.877,2.146,2.009,2.437,2.3
HadGEM2-CC,1.877,2.146,2.009,2.437,2.3
HadGEM2-ES,1.877,2.146,2.009,2.437,2.3
inmcm4,1.877,2.146,2.009,2.437,2.3
IPSL-CM5A-LR,1.877,2.146,2.009,2.437,2.3
IPSL-CM5A-MR,1.877,2.146,2.009,2.437,2.3
IPSL-CM5B-LR,1.877,2.146,2.009,2.437,2.3
MIROC4h,1.877,2.146,2.009,2.437,2.3
MIROC5,1.877,2.146,2.009,2.437,2.3
MIROC-ESM-CHEM,1.877,2.146,2.009,2.437,2.3
MIROC-ESM,1.877,2.146,2.009,2.437,2.3
MPI-ESM-LR,1.877,2.146,2.009,2.437,2.3
MPI-ESM-MR,1.877,2.146,2.009,2.437,2.3
MPI-ESM-P,1.877,2.146,2.009,2.437,2.3
NorESM1-ME,1.877,2.146,2.009,2.437,2.3
NorESM1-M,1.877,2.146,2.009,2.437,2.3
