model_name,ann
ACCESS1-0,2.336
ACCESS1-3,2.336
bcc-csm1-1,2.336
bcc-csm1-1-m,2.336
BNU-ESM,2.336
CanCM4,2.336
CanESM2,2.336
CCSM4,2.336
CESM1-BGC,2.336
CESM1-CAM5,2.336
CESM1-FASTCHEM,2.336
CESM1-WACCM,2.336
CMCC-CESM,2.336
CMCC-CM,2.336
CMCC-CMS,2.336
CNRM-CM5,2.336
CSIRO-Mk3-6-0,2.336
FGOALS-g2,2.336
FIO-ESM,2.336
GFDL-CM2p1,2.336
GFDL-CM3,2.336
GFDL-ESM2G,2.336
GFDL-ESM2M,2.336
GISS-E2-H-CC,2.336
GISS-E2-H,2.336
GISS-E2-R-CC,2.336
GISS-E2-R,2.336
HadCM3,2.336
HadGEM2-AO,2.336
HadGEM2-CC,2.336
HadGEM2-ES,2.336
inmcm4,2.336
IPSL-CM5A-LR,2.336
IPSL-CM5A-MR,2.336
IPSL-CM5B-LR,2.336
MIROC4h,2.336
MIROC5,2.336
MIROC-ESM-CHEM,2.336
MIROC-ESM,2.336
MPI-ESM-LR,2.336
MPI-ESM-MR,2.336
MPI-ESM-P,2.336
NorESM1-ME,2.336
NorESM1-M,2.336
