model_name,ann,son,mam,jja,djf
ACCESS1-0,2.459,2.877,2.731,3.049,3.151
ACCESS1-3,2.479,2.992,2.772,2.951,3.273
bcc-csm1-1,2.0,2.343,2.325,2.595,2.746
bcc-csm1-1-m,1.968,2.225,2.194,2.576,2.625
BNU-ESM,2.022,2.424,2.367,2.536,2.586
CanCM4,2.165,2.609,2.345,2.699,2.715
CanESM2,2.181,2.62,2.393,2.719,2.736
CCSM4,2.002,2.407,2.291,2.628,2.677
CESM1-BGC,2.027,2.465,2.344,2.656,2.728
CESM1-CAM5,2.061,2.492,2.312,2.665,2.639
CESM1-FASTCHEM,2.047,2.476,2.346,2.681,2.715
CESM1-WACCM,2.016,2.429,2.258,2.601,2.648
CMCC-CESM,2.353,2.8,2.457,3.089,2.862
CMCC-CM,2.272,2.732,2.495,3.138,2.841
CMCC-CMS,2.203,2.697,2.389,3.041,2.671
CNRM-CM5,1.914,2.244,2.064,2.43,2.515
CSIRO-Mk3-6-0,2.628,3.192,2.763,3.375,3.254
FGOALS-g2,1.85,2.112,2.012,2.511,2.337
FIO-ESM,1.965,2.299,2.33,2.47,2.559
GFDL-CM2p1,2.155,2.707,2.418,2.718,2.775
GFDL-CM3,2.017,2.518,2.444,2.605,2.795
GFDL-ESM2G,2.215,2.741,2.496,2.811,2.965
GFDL-ESM2M,2.025,2.609,2.332,2.604,2.728
GISS-E2-H-CC,2.487,2.737,2.82,2.899,2.899
GISS-E2-H,2.403,2.638,2.722,2.823,2.834
GISS-E2-R-CC,2.405,2.607,2.742,2.849,2.794
GISS-E2-R,2.388,2.596,2.719,2.843,2.774
HadCM3,2.455,2.837,2.553,2.866,3.032
HadGEM2-AO,2.333,2.942,2.636,3.052,3.153
HadGEM2-CC,2.264,2.842,2.545,2.984,3.057
HadGEM2-ES,2.32,2.927,2.598,3.06,3.111
inmcm4,2.239,2.476,2.501,2.539,2.759
IPSL-CM5A-LR,2.078,2.493,2.372,2.629,2.571
IPSL-CM5A-MR,2.164,2.599,2.43,2.701,2.683
IPSL-CM5B-LR,1.993,2.465,2.437,2.593,2.692
MIROC4h,2.073,2.463,2.405,2.825,2.571
MIROC5,2.167,2.535,2.278,3.013,2.829
MIROC-ESM-CHEM,2.013,2.37,2.182,2.604,2.591
MIROC-ESM,2.03,2.375,2.198,2.652,2.582
MPI-ESM-LR,2.254,2.704,2.317,3.026,2.892
MPI-ESM-MR,2.216,2.769,2.324,3.062,2.925
MPI-ESM-P,2.273,2.734,2.346,3.038,2.878
NorESM1-ME,2.099,2.496,2.392,2.59,2.764
NorESM1-M,2.081,2.492,2.422,2.561,2.789
