model_name,ann
ACCESS1-0,1.924
ACCESS1-3,1.989
bcc-csm1-1,1.615
bcc-csm1-1-m,1.588
BNU-ESM,1.579
CanCM4,1.679
CanESM2,1.684
CCSM4,1.521
CESM1-BGC,1.563
CESM1-CAM5,1.574
CESM1-FASTCHEM,1.575
CESM1-WACCM,1.557
CMCC-CESM,1.841
CMCC-CM,1.825
CMCC-CMS,1.746
CNRM-CM5,1.422
CSIRO-Mk3-6-0,2.221
FGOALS-g2,1.286
FIO-ESM,1.383
GFDL-CM2p1,1.693
GFDL-CM3,1.526
GFDL-ESM2G,1.782
GFDL-ESM2M,1.517
GISS-E2-H-CC,1.793
GISS-E2-H,1.761
GISS-E2-R-CC,1.712
GISS-E2-R,1.691
HadCM3,1.973
HadGEM2-AO,1.885
HadGEM2-CC,1.817
HadGEM2-ES,1.867
inmcm4,1.715
IPSL-CM5A-LR,1.6
IPSL-CM5A-MR,1.707
IPSL-CM5B-LR,1.578
MIROC4h,1.474
MIROC5,1.658
MIROC-ESM-CHEM,1.402
MIROC-ESM,1.405
MPI-ESM-LR,1.827
MPI-ESM-MR,1.782
MPI-ESM-P,1.864
NorESM1-ME,1.576
NorESM1-M,1.583
