model_name,ann,son,mam,jja,djf
ACCESS1-0,31.965,33.816,34.091,37.566,36.193
ACCESS1-3,33.541,35.637,35.632,39.44,37.261
bcc-csm1-1,30.128,31.897,31.68,35.134,33.197
bcc-csm1-1-m,29.223,31.291,31.02,36.586,32.375
BNU-ESM,30.823,33.393,33.042,37.183,33.953
CanCM4,31.122,33.756,33.079,37.357,34.345
CanESM2,31.358,33.915,33.673,37.788,34.719
CCSM4,29.315,31.602,31.253,35.935,33.272
CESM1-BGC,29.468,31.742,31.665,36.185,33.527
CESM1-CAM5-1-FV2,29.526,31.976,32.371,35.714,34.603
CESM1-CAM5,29.09,31.463,31.423,34.99,33.613
CESM1-FASTCHEM,29.648,32.122,31.686,36.359,33.582
CESM1-WACCM,30.57,33.35,32.362,37.578,34.146
CMCC-CESM,30.434,32.341,31.464,35.511,33.841
CMCC-CM,29.811,32.568,30.995,35.084,34.241
CMCC-CMS,28.741,31.311,29.902,34.047,32.673
CNRM-CM5,27.509,29.981,29.789,32.419,32.546
CSIRO-Mk3-6-0,32.589,34.435,34.025,38.828,36.368
FGOALS-g2,27.797,29.514,28.785,31.863,31.03
FIO-ESM,30.273,32.603,32.378,35.445,33.305
GFDL-CM2p1,29.141,32.428,30.675,34.724,33.306
GFDL-CM3,28.81,32.192,32.258,36.02,34.095
GFDL-ESM2G,29.734,32.652,31.364,34.971,34.812
GFDL-ESM2M,28.656,31.764,30.45,33.761,33.115
GISS-E2-H-CC,25.442,26.718,27.247,26.994,28.909
GISS-E2-H,24.476,25.678,26.231,25.798,28.263
GISS-E2-R-CC,25.608,26.694,27.259,27.645,28.95
GISS-E2-R,25.548,26.692,27.111,27.606,28.94
HadCM3,31.907,34.002,33.523,36.724,35.554
HadGEM2-AO,31.641,33.892,34.295,37.245,36.427
HadGEM2-CC,30.375,32.503,33.03,35.265,35.474
HadGEM2-ES,31.373,33.669,33.793,36.884,36.245
inmcm4,29.268,30.898,31.082,32.061,32.11
IPSL-CM5A-LR,33.225,35.253,35.488,38.68,36.131
IPSL-CM5A-MR,33.475,35.393,35.901,38.846,36.054
IPSL-CM5B-LR,30.694,33.318,33.252,35.249,35.753
MIROC4h,30.702,33.111,33.313,37.204,34.048
MIROC5,26.23,28.304,27.228,30.859,31.034
MIROC-ESM-CHEM,27.655,30.202,29.212,33.029,30.682
MIROC-ESM,27.8,30.396,29.345,33.135,30.552
MPI-ESM-LR,29.245,31.253,30.268,33.635,33.066
MPI-ESM-MR,29.338,31.299,30.528,33.473,33.105
MPI-ESM-P,29.234,31.182,30.429,33.602,33.043
NorESM1-ME,29.567,31.676,31.514,35.72,32.856
NorESM1-M,29.241,31.204,31.477,35.095,33.071
