model_name,pr,rltcre,rlut,rst,rstcre,rt,ta-200,ta-850,tas,tauu,tauv,ua-200,ua-850,va-200,va-850,zg-500
ACCESS1-0,0.626,-2.981,5.726,-0.373,0.902,-6.100,-2.009,-0.693,-0.298,0.003,-0.000,2.053,-0.174,0.170,-0.072,-21.669
ACCESS1-3,0.715,-0.355,6.522,1.023,0.635,-5.499,0.061,0.212,0.034,0.001,-0.002,2.533,-0.721,0.193,-0.207,1.003
bcc-csm1-1,0.411,0.692,-2.460,-6.937,-7.446,-4.477,-3.452,-0.224,0.738,-0.009,-0.005,2.040,-0.097,0.186,-0.140,-7.147
bcc-csm1-1-m,0.409,7.763,-6.598,-9.441,-9.891,-2.844,0.584,1.373,1.493,-0.008,-0.006,2.829,0.014,0.243,-0.191,32.981
BNU-ESM,0.469,0.819,-2.503,-3.231,-7.772,-0.728,-1.553,-0.383,0.007,-0.009,-0.004,1.365,-0.923,0.126,-0.082,5.742
CanCM4,0.331,0.283,0.006,-0.999,-1.771,-1.252,0.605,-0.059,0.262,-0.008,-0.004,1.104,-0.570,0.051,-0.147,-8.284
CanESM2,0.348,0.530,0.252,-3.627,-7.353,-3.896,0.929,-0.022,0.402,-0.008,-0.003,1.311,-0.529,0.057,-0.148,-6.744
CCSM4,0.585,0.523,0.269,-3.598,-7.322,-4.022,-0.933,-0.298,0.043,-0.007,-0.004,0.302,-0.978,0.095,-0.080,16.604
CESM1-BGC,0.589,-2.432,0.425,-6.237,-8.357,-3.334,-0.848,-0.245,0.096,-0.007,-0.004,0.419,-0.957,0.121,-0.077,17.576
CESM1-CAM5,0.671,0.351,-2.930,-2.904,-6.912,-3.872,-2.236,-1.131,-0.703,0.002,-0.002,-0.392,-0.406,0.044,-0.057,-8.263
CESM1-FASTCHEM,0.587,6.783,-2.903,-13.072,-16.788,-6.235,-0.792,-0.230,0.103,-0.007,-0.004,0.611,-0.977,0.088,-0.076,18.246
CESM1-WACCM,0.479,-0.488,0.969,-0.597,6.544,4.197,-1.128,-0.636,-0.024,0.001,-0.003,-0.202,-0.894,0.037,-0.086,1.525
CMCC-CESM,0.532,0.075,-6.837,-2.666,-0.313,-1.724,-0.708,0.500,0.776,-0.005,-0.002,3.874,-0.186,0.032,-0.002,23.797
CMCC-CM,0.408,0.767,-4.794,-9.270,-3.137,-5.942,-1.564,0.012,0.355,-0.000,-0.001,2.237,0.329,-0.049,0.041,-4.794
CMCC-CMS,0.454,-1.282,-1.651,-8.600,-5.441,-5.975,-2.142,0.353,0.664,-0.003,-0.001,2.487,-0.002,-0.047,0.050,-0.894
CNRM-CM5,0.626,3.175,-3.083,-6.295,-4.401,0.393,-5.984,-0.522,-0.504,0.001,-0.004,-0.127,-0.138,0.045,-0.114,-27.954
CSIRO-Mk3-6-0,0.479,0.068,-0.942,-4.782,-4.067,-2.929,0.067,-1.088,-0.805,-0.007,-0.002,0.818,0.208,0.020,-0.112,-4.367
FGOALS-g2,0.311,0.928,-3.328,-4.286,-3.509,-3.187,-4.878,-1.252,-1.872,0.002,-0.003,0.750,-0.224,-0.051,0.005,-31.881
FIO-ESM,0.497,2.411,-6.154,-8.631,-12.032,-6.020,-1.688,-0.621,-0.863,-0.009,-0.004,2.379,-0.933,0.059,-0.052,3.665
GFDL-CM2p1,0.561,-2.564,-2.625,-8.817,-12.071,-5.768,-1.186,-0.862,0.122,-0.015,-0.006,-1.313,-1.262,0.018,-0.055,-40.141
GFDL-CM3,0.558,-2.761,-2.053,-9.184,-12.159,-6.311,-1.311,-0.985,-0.903,-0.014,-0.006,0.934,-1.009,0.181,-0.102,-24.984
GFDL-ESM2G,0.618,-5.650,-6.689,-9.170,-12.148,-6.273,-1.356,-1.236,-0.908,-0.014,-0.006,-1.147,-1.064,0.090,-0.093,-46.689
GFDL-ESM2M,0.625,-5.553,-1.853,-1.596,-4.313,-4.103,-0.828,-0.899,-0.863,-0.008,-0.005,-0.605,-0.975,0.094,-0.093,-37.784
