model_name,pr,rltcre,rlut,rst,rstcre,rt,ta-200,ta-850,tas,tauu,tauv,ua-200,ua-850,va-200,va-850,zg-500
ACCESS1-0,0.396,-0.899,1.776,1.750,2.296,-0.026,-2.154,-0.437,-0.295,-0.005,-0.001,0.654,-0.165,0.103,-0.027,-15.735
ACCESS1-3,0.479,0.670,3.048,2.630,2.602,-0.418,-1.027,0.190,-0.068,-0.006,-0.002,1.448,-0.374,0.121,-0.101,1.508
bcc-csm1-1,0.157,0.952,-4.417,-5.490,-6.112,-1.073,-4.699,-0.938,0.254,-0.003,-0.003,1.197,0.203,0.107,-0.022,-16.785
bcc-csm1-1-m,0.190,3.482,-3.614,-4.639,-5.631,-1.025,-1.873,0.350,0.875,0.002,-0.003,2.352,0.469,0.129,-0.044,17.135
BNU-ESM,0.361,-0.924,-2.839,-0.742,-2.379,2.097,-3.692,-0.750,-0.493,-0.002,-0.003,1.501,-0.093,0.087,-0.004,-8.490
CanCM4,0.083,-0.764,-0.528,-0.582,0.244,-0.262,-0.735,-0.755,-0.267,-0.001,-0.002,1.499,0.020,0.035,-0.034,-23.964
CanESM2,0.074,-2.613,-0.320,1.906,0.326,-0.242,-0.776,-0.633,-0.015,-0.001,-0.002,1.657,0.020,0.039,-0.032,-21.910
CCSM4,0.292,-2.577,2.149,2.093,0.333,-0.235,-2.454,-0.149,-0.216,-0.003,-0.002,0.643,-0.152,0.068,-0.030,13.783
CESM1-BGC,0.295,-3.672,2.328,-0.829,-1.661,1.593,-2.429,-0.065,-0.112,-0.003,-0.002,0.686,-0.147,0.080,-0.029,15.320
CESM1-CAM5,0.356,-2.605,-2.388,2.564,0.612,-0.184,-3.589,-1.043,-0.828,-0.005,-0.002,0.026,-0.209,0.038,-0.019,-4.600
CESM1-FASTCHEM,0.299,4.396,-2.422,-5.482,-7.446,-0.250,-2.490,-0.040,-0.081,-0.003,-0.002,0.803,-0.149,0.061,-0.027,16.094
CESM1-WACCM,0.179,1.222,2.747,-7.045,-0.387,0.942,-3.514,-0.424,0.001,-0.009,-0.004,0.489,-0.513,0.042,-0.027,9.875
CMCC-CESM,0.199,-0.704,-5.232,3.503,4.594,3.158,-3.511,-0.464,-0.341,-0.004,-0.002,3.109,-0.208,0.033,0.018,10.988
CMCC-CM,0.220,0.382,-7.987,-5.558,1.673,-0.113,-2.785,-0.478,-0.503,-0.001,-0.000,1.428,0.062,-0.009,0.020,-8.261
CMCC-CMS,0.241,-4.114,-2.907,-4.690,-1.192,-1.370,-2.879,-0.138,-0.133,-0.003,-0.000,1.636,-0.071,-0.002,0.036,-4.690
CNRM-CM5,0.375,3.524,-4.003,-4.993,-3.149,-0.289,-5.655,-0.336,-0.517,-0.007,-0.004,-0.713,-0.237,0.018,-0.047,-24.912
CSIRO-Mk3-6-0,0.203,-1.856,0.346,-2.780,-2.387,-0.399,-1.404,-1.444,-1.251,-0.005,-0.006,0.369,0.020,0.028,-0.062,-10.138
FGOALS-g2,0.141,-0.404,-5.445,-2.002,-2.183,-0.374,-6.686,-1.477,-1.121,-0.007,-0.003,-0.174,-0.223,-0.011,0.015,-36.206
FIO-ESM,0.332,0.192,-6.163,-0.758,-1.433,-0.268,-4.148,-0.879,-1.662,-0.004,-0.003,2.049,-0.142,0.049,0.012,-11.791
