model_name,ann,djf,mam,jja,son
MIROC4h,0.706,0.867,0.836,0.965,0.783
ACCESS1-0,0.748,0.897,0.916,1.01,0.881
ACCESS1-3,0.784,0.983,0.995,1.049,0.966
IPSL-CM5B-LR,0.856,0.984,1.148,1.148,0.985
CanCM4,0.77,0.907,0.898,0.905,0.938
MIROC-ESM,0.875,1.068,0.907,1.08,1.015
HadGEM2-AO,0.727,0.865,0.949,0.993,0.899
CanESM2,0.773,0.914,0.907,0.917,0.896
MPI-ESM-P,0.879,1.051,1.058,1.077,0.879
MPI-ESM-MR,0.856,1.047,1.045,1.058,0.881
CSIRO-Mk3-6-0,0.976,1.132,1.122,1.254,1.079
CESM1-BGC,0.713,0.848,0.961,0.927,0.823
inmcm4,0.988,1.028,1.12,1.271,1.167
CESM1-FASTCHEM,0.701,0.845,0.927,0.9,0.818
BNU-ESM,0.83,1.031,1.017,1.016,0.961
CNRM-CM5-2,0.774,0.916,0.892,0.966,0.803
CCSM4,0.7,0.848,0.918,0.913,0.799
GFDL-CM2p1,0.828,0.904,0.976,1.05,1.0
GFDL-ESM2G,0.876,0.988,1.049,1.045,0.993
fio-esm,0.813,1.095,1.015,1.042,0.886
bcc-csm1-1-m,0.857,0.97,1.011,1.165,0.92
GFDL-ESM2M,0.82,0.911,1.002,1.022,0.961
NorESM1-M,0.812,1.001,1.072,0.993,0.921
CESM1-WACCM,0.767,0.938,0.921,0.972,0.833
IPSL-CM5A-MR,0.895,0.966,1.132,1.081,0.997
IPSL-CM5A-LR,0.882,0.959,1.108,1.071,0.981
GFDL-CM3,0.792,0.936,1.101,0.965,0.906
CNRM-CM5,0.776,0.909,0.9,0.986,0.792
MIROC-ESM-CHEM,0.859,1.066,0.884,1.043,1.006
MRI-ESM1,0.815,1.076,1.006,1.022,0.962
NorESM1-ME,0.792,1.008,1.017,0.989,0.891
MIROC5,0.786,0.913,0.908,1.088,0.863
MRI-CGCM3,0.823,1.097,1.017,1.025,0.97
MPI-ESM-LR,0.867,1.029,1.049,1.058,0.869
bcc-csm1-1,0.799,0.978,0.976,1.042,0.914
CESM1-CAM5,0.697,0.83,0.855,0.911,0.77
