model_name,ann,djf,mam,jja,son
MIROC4h,2.691,2.699,2.662,2.715,2.685
ACCESS1-0,2.691,2.699,2.662,2.715,2.685
ACCESS1-3,2.691,2.699,2.662,2.715,2.685
IPSL-CM5B-LR,2.691,2.699,2.662,2.715,2.685
CanCM4,2.691,2.699,2.662,2.715,2.685
MIROC-ESM,2.691,2.699,2.662,2.715,2.685
HadGEM2-AO,2.691,2.699,2.662,2.715,2.685
CanESM2,2.691,2.699,2.662,2.715,2.685
MPI-ESM-P,2.691,2.699,2.662,2.715,2.685
MPI-ESM-MR,2.691,2.699,2.662,2.715,2.685
CSIRO-Mk3-6-0,2.691,2.699,2.662,2.715,2.685
CESM1-BGC,2.691,2.699,2.662,2.715,2.685
inmcm4,2.691,2.699,2.662,2.715,2.685
CESM1-FASTCHEM,2.691,2.699,2.662,2.715,2.685
BNU-ESM,2.691,2.699,2.662,2.715,2.685
CNRM-CM5-2,2.691,2.699,2.662,2.715,2.685
CCSM4,2.691,2.699,2.662,2.715,2.685
GFDL-CM2p1,2.691,2.699,2.662,2.715,2.685
GFDL-ESM2G,2.691,2.699,2.662,2.715,2.685
fio-esm,2.691,2.699,2.662,2.715,2.685
bcc-csm1-1-m,2.691,2.699,2.662,2.715,2.685
GFDL-ESM2M,2.691,2.699,2.662,2.715,2.685
NorESM1-M,2.691,2.699,2.662,2.715,2.685
CESM1-WACCM,2.691,2.699,2.662,2.715,2.685
IPSL-CM5A-MR,2.691,2.699,2.662,2.715,2.685
IPSL-CM5A-LR,2.691,2.699,2.662,2.715,2.685
GFDL-CM3,2.691,2.699,2.662,2.715,2.685
CNRM-CM5,2.691,2.699,2.662,2.715,2.685
MIROC-ESM-CHEM,2.691,2.699,2.662,2.715,2.685
MRI-ESM1,2.691,2.699,2.662,2.715,2.685
NorESM1-ME,2.691,2.699,2.662,2.715,2.685
MIROC5,2.691,2.699,2.662,2.715,2.685
MRI-CGCM3,2.691,2.699,2.662,2.715,2.685
MPI-ESM-LR,2.691,2.699,2.662,2.715,2.685
bcc-csm1-1,2.691,2.699,2.662,2.715,2.685
CESM1-CAM5,2.691,2.699,2.662,2.715,2.685
