model_name,ann,djf,mam,jja,son
MIROC4h,2.944,2.912,2.949,3.028,2.886
ACCESS1-0,3.069,3.048,3.071,3.133,3.026
ACCESS1-3,3.153,3.133,3.138,3.216,3.124
IPSL-CM5B-LR,2.798,2.798,2.775,2.845,2.772
CanCM4,2.757,2.758,2.746,2.826,2.697
MIROC-ESM,2.783,2.78,2.79,2.823,2.741
HadGEM2-AO,3.091,3.073,3.084,3.163,3.045
CanESM2,2.748,2.754,2.731,2.803,2.705
MPI-ESM-P,2.929,2.921,2.901,3.013,2.882
MPI-ESM-MR,2.987,2.978,2.96,3.072,2.939
CSIRO-Mk3-6-0,2.877,2.851,2.895,2.944,2.819
CESM1-BGC,2.969,3.009,2.924,3.019,2.923
inmcm4,3.153,3.151,3.152,3.18,3.129
CESM1-FASTCHEM,2.973,3.004,2.93,3.027,2.93
BNU-ESM,3.035,3.064,3.045,3.033,2.997
CNRM-CM5-2,3.017,3.047,2.992,3.061,2.968
CCSM4,2.966,2.999,2.924,3.019,2.921
GFDL-CM2p1,2.91,2.924,2.917,2.926,2.874
GFDL-ESM2G,2.964,2.952,2.948,3.027,2.929
fio-esm,3.005,3.033,2.979,3.029,2.981
bcc-csm1-1-m,2.864,2.89,2.854,2.884,2.827
GFDL-ESM2M,2.982,2.98,2.968,3.032,2.947
NorESM1-M,2.807,2.834,2.777,2.853,2.762
CESM1-WACCM,2.852,2.863,2.824,2.912,2.81
IPSL-CM5A-MR,2.791,2.789,2.78,2.851,2.744
IPSL-CM5A-LR,2.711,2.697,2.698,2.782,2.666
GFDL-CM3,2.981,2.996,2.966,3.023,2.94
CNRM-CM5,3.049,3.08,3.026,3.094,2.995
MIROC-ESM-CHEM,2.768,2.761,2.779,2.804,2.729
MRI-ESM1,2.924,2.973,2.899,2.942,2.88
NorESM1-ME,2.787,2.814,2.755,2.834,2.745
MIROC5,3.196,3.158,3.187,3.284,3.157
MRI-CGCM3,2.904,2.951,2.875,2.926,2.863
MPI-ESM-LR,2.938,2.933,2.912,3.021,2.885
bcc-csm1-1,2.831,2.854,2.819,2.847,2.803
CESM1-CAM5,3.03,3.038,3.007,3.09,2.983
