model_name,ann
MIROC4h,1.617
ACCESS1-0,1.851
ACCESS1-3,1.975
IPSL-CM5B-LR,1.978
CanCM4,1.68
MIROC-ESM,1.753
HadGEM2-AO,1.882
CanESM2,1.691
MPI-ESM-P,1.958
MPI-ESM-MR,1.926
CSIRO-Mk3-6-0,2.294
CESM1-BGC,1.656
inmcm4,1.961
CESM1-FASTCHEM,1.616
BNU-ESM,1.696
CNRM-CM5-2,1.522
CCSM4,1.594
GFDL-CM2p1,1.836
GFDL-ESM2G,1.948
fio-esm,1.754
bcc-csm1-1-m,1.876
GFDL-ESM2M,1.788
NorESM1-M,1.803
CESM1-WACCM,1.632
IPSL-CM5A-MR,1.892
IPSL-CM5A-LR,1.836
GFDL-CM3,1.866
CNRM-CM5,1.526
MIROC-ESM-CHEM,1.723
MRI-ESM1,1.989
NorESM1-ME,1.745
MIROC5,1.631
MRI-CGCM3,2.0
MPI-ESM-LR,1.918
bcc-csm1-1,1.791
CESM1-CAM5,1.53
