model_name,ann,djf,mam,jja,son
MIROC4h,1.092,1.416,1.425,1.631,1.283
ACCESS1-0,1.216,1.642,1.586,1.656,1.543
ACCESS1-3,1.236,1.822,1.656,1.663,1.697
IPSL-CM5B-LR,1.284,1.627,1.898,1.813,1.606
CanCM4,1.241,1.541,1.528,1.514,1.543
MIROC-ESM,1.281,1.677,1.327,1.825,1.563
HadGEM2-AO,1.084,1.55,1.662,1.575,1.569
CanESM2,1.245,1.558,1.577,1.542,1.474
MPI-ESM-P,1.474,1.859,1.827,1.955,1.539
MPI-ESM-MR,1.367,1.817,1.756,1.875,1.529
CSIRO-Mk3-6-0,1.707,2.091,2.052,2.319,2.001
CESM1-BGC,1.068,1.336,1.576,1.475,1.32
inmcm4,1.473,1.62,1.721,1.942,1.819
CESM1-FASTCHEM,1.036,1.324,1.502,1.434,1.287
BNU-ESM,1.196,1.52,1.527,1.54,1.4
CNRM-CM5-2,1.09,1.42,1.408,1.395,1.189
CCSM4,1.024,1.317,1.492,1.42,1.248
GFDL-CM2p1,1.32,1.565,1.652,1.731,1.665
GFDL-ESM2G,1.408,1.77,1.818,1.732,1.647
fio-esm,1.193,1.658,1.554,1.631,1.298
bcc-csm1-1-m,1.384,1.683,1.718,1.955,1.478
GFDL-ESM2M,1.223,1.508,1.686,1.603,1.517
NorESM1-M,1.202,1.633,1.693,1.635,1.454
CESM1-WACCM,1.136,1.486,1.531,1.533,1.285
IPSL-CM5A-MR,1.379,1.636,1.822,1.812,1.598
IPSL-CM5A-LR,1.323,1.582,1.786,1.753,1.533
GFDL-CM3,1.225,1.605,1.883,1.559,1.469
CNRM-CM5,1.086,1.397,1.411,1.422,1.19
MIROC-ESM-CHEM,1.26,1.676,1.3,1.769,1.542
MRI-ESM1,1.317,1.922,1.73,1.723,1.636
NorESM1-ME,1.175,1.602,1.592,1.624,1.411
MIROC5,1.04,1.473,1.246,1.586,1.246
MRI-CGCM3,1.33,1.946,1.756,1.723,1.641
MPI-ESM-LR,1.432,1.82,1.801,1.89,1.52
bcc-csm1-1,1.218,1.608,1.661,1.667,1.472
CESM1-CAM5,1.019,1.323,1.393,1.381,1.2
