model_name,ann,djf,mam,jja,son
MIROC4h,1.905,2.331,2.037,2.465,2.179
ACCESS1-0,1.905,2.331,2.037,2.465,2.179
ACCESS1-3,1.905,2.331,2.037,2.465,2.179
IPSL-CM5B-LR,1.905,2.331,2.037,2.465,2.179
CanCM4,1.905,2.331,2.037,2.465,2.179
MIROC-ESM,1.905,2.331,2.037,2.465,2.179
HadGEM2-AO,1.905,2.331,2.037,2.465,2.179
CanESM2,1.905,2.331,2.037,2.465,2.179
MPI-ESM-P,1.905,2.331,2.037,2.465,2.179
MPI-ESM-MR,1.905,2.331,2.037,2.465,2.179
CSIRO-Mk3-6-0,1.905,2.331,2.037,2.465,2.179
CESM1-BGC,1.905,2.331,2.037,2.465,2.179
inmcm4,1.905,2.331,2.037,2.465,2.179
CESM1-FASTCHEM,1.905,2.331,2.037,2.465,2.179
BNU-ESM,1.905,2.331,2.037,2.465,2.179
CNRM-CM5-2,1.905,2.331,2.037,2.465,2.179
CCSM4,1.905,2.331,2.037,2.465,2.179
GFDL-CM2p1,1.905,2.331,2.037,2.465,2.179
GFDL-ESM2G,1.905,2.331,2.037,2.465,2.179
fio-esm,1.905,2.331,2.037,2.465,2.179
bcc-csm1-1-m,1.905,2.331,2.037,2.465,2.179
GFDL-ESM2M,1.905,2.331,2.037,2.465,2.179
NorESM1-M,1.905,2.331,2.037,2.465,2.179
CESM1-WACCM,1.905,2.331,2.037,2.465,2.179
IPSL-CM5A-MR,1.905,2.331,2.037,2.465,2.179
IPSL-CM5A-LR,1.905,2.331,2.037,2.465,2.179
GFDL-CM3,1.905,2.331,2.037,2.465,2.179
CNRM-CM5,1.905,2.331,2.037,2.465,2.179
MIROC-ESM-CHEM,1.905,2.331,2.037,2.465,2.179
MRI-ESM1,1.905,2.331,2.037,2.465,2.179
NorESM1-ME,1.905,2.331,2.037,2.465,2.179
MIROC5,1.905,2.331,2.037,2.465,2.179
MRI-CGCM3,1.905,2.331,2.037,2.465,2.179
MPI-ESM-LR,1.905,2.331,2.037,2.465,2.179
bcc-csm1-1,1.905,2.331,2.037,2.465,2.179
CESM1-CAM5,1.905,2.331,2.037,2.465,2.179
