model_name,ann
MIROC4h,1.567
ACCESS1-0,1.567
ACCESS1-3,1.567
IPSL-CM5B-LR,1.567
CanCM4,1.567
MIROC-ESM,1.567
HadGEM2-AO,1.567
CanESM2,1.567
MPI-ESM-P,1.567
MPI-ESM-MR,1.567
CSIRO-Mk3-6-0,1.567
CESM1-BGC,1.567
inmcm4,1.567
CESM1-FASTCHEM,1.567
BNU-ESM,1.567
CNRM-CM5-2,1.567
CCSM4,1.567
GFDL-CM2p1,1.567
GFDL-ESM2G,1.567
fio-esm,1.567
bcc-csm1-1-m,1.567
GFDL-ESM2M,1.567
NorESM1-M,1.567
CESM1-WACCM,1.567
IPSL-CM5A-MR,1.567
IPSL-CM5A-LR,1.567
GFDL-CM3,1.567
CNRM-CM5,1.567
MIROC-ESM-CHEM,1.567
MRI-ESM1,1.567
NorESM1-ME,1.567
MIROC5,1.567
MRI-CGCM3,1.567
MPI-ESM-LR,1.567
bcc-csm1-1,1.567
CESM1-CAM5,1.567
