model_name,ann,son,mam,jja,djf
MIROC4h,43.579,42.022,41.902,44.196,43.629
ACCESS1-0,43.516,42.266,41.616,43.788,43.846
ACCESS1-3,44.424,43.291,42.46,44.621,44.779
IPSL-CM5B-LR,45.12,43.585,43.392,45.36,45.603
MIROC-ESM,42.906,41.396,41.085,43.641,42.923
CanESM2,43.981,42.558,41.994,44.626,44.186
MPI-ESM-P,44.898,43.538,42.902,45.546,45.053
MPI-ESM-MR,45.24,43.835,43.312,45.845,45.413
CSIRO-Mk3-6-0,44.323,43.054,42.481,44.629,44.566
CESM1-BGC,46.325,44.878,44.39,46.646,46.832
inmcm4,45.907,44.68,44.125,45.997,46.281
CESM1-FASTCHEM,46.381,44.954,44.437,46.74,46.837
BNU-ESM,46.234,44.581,44.533,46.667,46.617
CNRM-CM5-2,42.926,41.42,41.108,43.173,43.439
CCSM4,46.244,44.814,44.322,46.595,46.691
GFDL-ESM2G,43.148,41.579,41.605,43.355,43.496
fio-esm,46.147,44.862,44.281,46.363,46.539
bcc-csm1-1-m,46.413,44.637,44.887,46.69,46.9
GFDL-ESM2M,43.677,42.088,42.052,43.884,44.128
NorESM1-M,44.86,43.582,42.942,44.991,45.374
CESM1-WACCM,46.678,45.362,44.742,46.938,47.111
IPSL-CM5A-MR,44.092,42.733,42.33,44.367,44.389
IPSL-CM5A-LR,42.807,41.424,41.066,43.156,43.033
GFDL-CM3,43.724,42.47,42.003,43.831,44.044
CNRM-CM5,43.238,41.757,41.449,43.445,43.736
MIROC-ESM-CHEM,42.937,41.485,41.049,43.685,42.949
MRI-ESM1,46.949,45.26,45.282,47.001,47.722
NorESM1-ME,44.541,43.248,42.621,44.722,45.018
MIROC5,44.304,42.931,42.534,44.964,44.227
MRI-CGCM3,46.478,44.789,44.793,46.576,47.219
MPI-ESM-LR,44.975,43.556,43.033,45.584,45.171
bcc-csm1-1,44.621,42.972,42.913,44.892,45.151
CESM1-CAM5,45.132,43.876,43.208,45.475,45.409
