model_name,ann,djf,mam,jja,son
MIROC4h,0.146,0.014,0.113,0.453,0.014
ACCESS1-0,-2.888,-3.49,-2.921,-2.398,-2.738
ACCESS1-3,-1.32,-2.0,-1.185,-0.825,-1.257
IPSL-CM5B-LR,-0.269,-1.284,-0.155,0.598,-0.21
MIROC-ESM,-5.009,-5.44,-5.792,-4.125,-4.702
HadGEM2-AO,-3.142,-3.841,-3.23,-2.441,-3.05
CanESM2,-2.755,-3.243,-2.88,-2.277,-2.611
MPI-ESM-P,-3.179,-4.141,-2.998,-2.348,-3.211
MPI-ESM-MR,-4.5,-5.385,-4.345,-3.676,-4.577
CSIRO-Mk3-6-0,1.534,0.572,1.931,1.952,1.699
CESM1-BGC,-4.569,-4.873,-5.013,-3.501,-4.882
inmcm4,-7.233,-7.366,-7.114,-7.068,-7.376
CESM1-FASTCHEM,-2.591,-2.852,-2.929,-1.686,-2.891
BNU-ESM,-2.915,-3.261,-3.206,-2.069,-3.114
CNRM-CM5-2,-6.338,-6.895,-6.409,-5.517,-6.517
CCSM4,-4.604,-4.894,-4.969,-3.566,-4.982
GFDL-ESM2G,-4.179,-4.571,-4.28,-3.583,-4.272
fio-esm,-2.395,-3.04,-2.741,-1.39,-2.401
bcc-csm1-1-m,1.491,0.812,1.528,2.085,1.554
GFDL-ESM2M,-4.127,-4.417,-4.31,-3.524,-4.249
NorESM1-M,1.853,1.363,1.424,3.129,1.502
CESM1-WACCM,2.404,1.85,2.001,3.829,1.945
IPSL-CM5A-MR,3.833,3.929,4.438,3.136,3.837
IPSL-CM5A-LR,2.837,2.826,3.361,2.258,2.914
GFDL-CM3,-1.801,-2.949,-1.84,-0.857,-1.539
CNRM-CM5,-6.106,-6.691,-6.151,-5.267,-6.303
MIROC-ESM-CHEM,-5.265,-5.421,-6.411,-4.111,-5.128
MRI-ESM1,-4.576,-6.142,-4.901,-2.958,-4.284
NorESM1-ME,1.675,1.271,1.316,2.838,1.281
MIROC5,-2.045,-3.024,-1.739,-1.566,-1.834
MRI-CGCM3,-4.357,-5.912,-4.747,-2.662,-4.092
MPI-ESM-LR,-3.19,-4.168,-2.985,-2.353,-3.238
bcc-csm1-1,-1.04,-1.619,-1.294,-0.283,-0.952
CESM1-CAM5,-5.663,-6.312,-5.509,-4.744,-6.072
