model_name,ann,son,mam,jja,djf
MIROC4h,-1.543,-1.79,-1.327,-1.622,-1.444
ACCESS1-0,1.178,0.727,1.408,0.848,1.727
ACCESS1-3,2.451,1.968,2.564,2.232,3.027
CESM1-CAM5-1-FV2,-2.981,-2.892,-2.5,-4.256,-2.288
IPSL-CM5B-LR,-0.549,-0.766,-0.054,-0.942,-0.445
GFDL-ESM2M,-2.222,-2.546,-1.587,-3.384,-1.384
MIROC-ESM,-4.142,-4.79,-3.429,-5.256,-3.079
HadGEM2-AO,1.94,1.702,2.387,1.369,2.296
CanESM2,-0.917,-1.11,-0.774,-1.047,-0.745
MPI-ESM-P,-3.827,-3.706,-3.66,-5.389,-2.574
MPI-ESM-MR,-1.88,-1.716,-1.733,-3.422,-0.668
CSIRO-Mk3-6-0,-6.041,-6.441,-6.152,-6.434,-5.151
CESM1-BGC,1.734,1.586,2.477,0.636,2.228
inmcm4,3.157,2.857,3.437,3.221,3.115
CESM1-FASTCHEM,0.148,0.059,0.822,-0.756,0.459
BNU-ESM,-3.432,-3.397,-3.143,-4.933,-2.271
CNRM-CM5-2,-0.659,-0.686,-0.416,-1.098,-0.453
CCSM4,1.553,1.537,2.156,0.529,1.982
GFDL-CM2p1,-3.134,-3.175,-2.88,-3.694,-2.797
GFDL-ESM2G,-2.977,-3.079,-2.515,-3.869,-2.456
fio-esm,-3.914,-4.081,-3.236,-5.621,-2.728
bcc-csm1-1-m,-4.209,-4.813,-3.551,-4.951,-3.531
CanCM4,-1.124,-1.295,-0.942,-1.414,-0.853
NorESM1-M,-7.877,-7.836,-6.961,-9.403,-7.309
CESM1-WACCM,-5.826,-5.779,-5.037,-7.055,-5.438
IPSL-CM5A-MR,-1.734,-1.954,-1.812,-0.714,-2.456
IPSL-CM5A-LR,-3.294,-3.529,-3.413,-2.176,-4.059
GFDL-CM3,-5.295,-5.817,-4.973,-6.988,-3.43
CNRM-CM5,-0.25,-0.199,-0.077,-0.778,0.041
MIROC-ESM-CHEM,-4.171,-4.664,-3.13,-5.561,-3.325
MRI-ESM1,-2.158,-3.308,-1.161,-4.359,0.176
NorESM1-ME,-8.464,-8.405,-7.649,-9.844,-7.958
MIROC5,-5.585,-5.678,-6.361,-5.503,-4.813
MRI-CGCM3,-2.707,-3.756,-1.776,-4.899,-0.411
MPI-ESM-LR,-3.863,-3.802,-3.712,-5.383,-2.572
bcc-csm1-1,-5.01,-5.516,-4.083,-6.201,-4.25
CESM1-CAM5,-3.018,-2.949,-2.674,-3.944,-2.516
