model_name,ann,djf,mam,jja,son
MIROC4h,0.367,0.606,0.289,0.277,0.293
ACCESS1-0,-0.29,-0.329,-0.323,-0.201,-0.309
ACCESS1-3,-0.063,-0.062,-0.101,-0.007,-0.084
IPSL-CM5B-LR,-0.757,-1.317,-0.676,-0.227,-0.804
CanCM4,-0.264,-0.401,-0.205,-0.122,-0.324
MIROC-ESM,-0.386,-0.043,-0.501,-0.477,-0.53
HadGEM2-AO,0.024,-0.191,0.028,0.208,0.052
CanESM2,-0.011,-0.04,-0.023,0.114,-0.096
MPI-ESM-P,-0.134,-0.24,0.007,-0.153,-0.147
MPI-ESM-MR,0.024,-0.06,0.175,0.002,-0.019
CSIRO-Mk3-6-0,-1.247,-1.397,-1.102,-1.103,-1.382
CESM1-BGC,-0.107,0.017,-0.137,-0.109,-0.204
inmcm4,-0.65,-0.648,-0.653,-0.556,-0.74
CESM1-FASTCHEM,-0.076,0.004,-0.088,-0.075,-0.147
BNU-ESM,-0.488,-0.116,-0.608,-0.671,-0.56
CNRM-CM5-2,-0.879,-0.991,-1.034,-0.559,-0.933
CCSM4,-0.212,-0.104,-0.254,-0.184,-0.308
GFDL-CM2p1,-0.665,-0.752,-0.676,-0.369,-0.862
GFDL-ESM2G,-0.588,-0.644,-0.451,-0.491,-0.763
fio-esm,-0.317,-0.209,-0.297,-0.451,-0.311
bcc-csm1-1-m,0.88,0.931,1.031,0.782,0.774
GFDL-ESM2M,-0.092,0.04,0.049,-0.1,-0.358
NorESM1-M,-0.748,-0.718,-0.702,-0.745,-0.828
CESM1-WACCM,0.005,-0.09,0.006,0.203,-0.097
IPSL-CM5A-MR,-0.562,-0.64,-0.55,-0.414,-0.643
IPSL-CM5A-LR,-1.345,-1.506,-1.32,-1.113,-1.44
GFDL-CM3,-0.637,-0.547,-0.668,-0.681,-0.656
CNRM-CM5,-0.513,-0.596,-0.671,-0.234,-0.555
MIROC-ESM-CHEM,-0.491,-0.159,-0.626,-0.555,-0.63
MRI-ESM1,-0.188,-0.137,-0.012,-0.1,-0.505
NorESM1-ME,-1.149,-1.099,-1.113,-1.153,-1.231
MIROC5,0.552,0.383,0.281,0.95,0.595
MRI-CGCM3,-0.427,-0.382,-0.303,-0.29,-0.732
MPI-ESM-LR,-0.168,-0.261,-0.007,-0.172,-0.231
bcc-csm1-1,0.259,0.369,0.382,0.123,0.162
CESM1-CAM5,-0.823,-0.943,-0.719,-0.694,-0.936
