model_name,ann,djf,mam,jja,son
MIROC4h,2.335,1.782,2.569,2.912,2.083
ACCESS1-0,0.651,0.228,0.087,0.993,1.285
ACCESS1-3,1.445,0.946,1.11,1.433,2.288
IPSL-CM5B-LR,1.477,0.789,0.979,2.31,1.832
CanCM4,1.495,1.499,1.043,1.799,1.639
MIROC-ESM,1.033,-0.135,1.423,1.842,1.007
HadGEM2-AO,0.34,-0.11,-0.269,0.823,0.91
CanESM2,1.654,1.438,1.336,2.066,1.779
MPI-ESM-P,-0.313,-0.695,-0.926,0.269,0.103
MPI-ESM-MR,0.065,-0.257,-0.348,0.686,0.174
CSIRO-Mk3-6-0,0.363,-0.226,0.096,0.448,1.139
CESM1-BGC,0.682,0.227,0.266,1.395,0.839
inmcm4,-1.501,-1.581,-1.706,-1.415,-1.309
CESM1-FASTCHEM,0.799,0.408,0.476,1.496,0.814
BNU-ESM,1.498,0.863,1.688,1.941,1.505
CNRM-CM5-2,-0.765,-1.253,-0.95,-0.443,-0.416
CCSM4,0.638,0.094,0.32,1.455,0.682
GFDL-CM2p1,-0.856,-1.34,-1.088,-0.264,-0.732
GFDL-ESM2G,-0.824,-1.535,-1.02,-0.281,-0.453
fio-esm,2.047,1.591,1.856,2.612,2.127
GFDL-ESM2M,-0.545,-1.278,-0.979,0.424,-0.345
NorESM1-M,0.944,0.375,0.633,1.398,1.366
CESM1-WACCM,0.485,0.006,0.109,1.068,0.751
IPSL-CM5A-MR,2.082,1.66,1.978,2.429,2.259
IPSL-CM5A-LR,2.217,1.627,2.073,2.705,2.462
GFDL-CM3,0.598,-0.266,-0.1,1.674,1.083
CNRM-CM5,-0.716,-1.295,-0.817,-0.387,-0.366
MIROC-ESM-CHEM,0.918,-0.212,1.243,1.718,0.92
MRI-ESM1,0.957,0.239,-0.051,1.826,1.809
NorESM1-ME,1.095,0.36,0.939,1.627,1.447
MIROC5,0.03,-0.619,-0.343,0.686,0.389
MRI-CGCM3,0.833,0.137,-0.206,1.682,1.713
MPI-ESM-LR,-0.27,-0.57,-0.785,0.371,-0.096
bcc-csm1-1,1.19,0.842,0.721,1.709,1.494
CESM1-CAM5,0.02,-0.694,-0.228,1.009,-0.005
