model_name,ann,son,mam,jja,djf
ACCESS1-0,-0.124,-0.051,-0.043,-0.189,-0.211
ACCESS1-3,-0.322,-0.304,-0.253,-0.339,-0.391
MIROC4h,0.139,0.137,0.205,0.012,0.201
MIROC-ESM,-0.093,-0.097,0.063,-0.192,-0.146
MIROC5,-0.266,-0.241,-0.22,-0.431,-0.171
CanESM2,-0.02,-0.038,0.103,-0.074,-0.068
MPI-ESM-P,-0.09,-0.101,-0.002,-0.082,-0.175
MPI-ESM-MR,-0.08,-0.084,0.002,-0.095,-0.142
CSIRO-Mk3-6-0,-0.059,-0.136,0.009,-0.09,-0.02
inmcm4,-0.058,-0.092,0.038,-0.152,-0.025
BNU-ESM,-0.142,-0.13,-0.105,-0.145,-0.186
CNRM-CM5-2,-0.095,-0.128,-0.011,-0.148,-0.093
IPSL-CM5B-LR,0.004,0.039,0.071,-0.059,-0.036
GFDL-CM2p1,-0.204,-0.158,-0.211,-0.255,-0.192
GFDL-ESM2G,-0.186,-0.129,-0.185,-0.194,-0.235
MRI-CGCM3,-0.094,-0.1,-0.056,-0.17,-0.05
GFDL-ESM2M,-0.163,-0.121,-0.118,-0.188,-0.223
NorESM1-M,-0.459,-0.454,-0.373,-0.491,-0.518
IPSL-CM5A-MR,-0.128,-0.117,-0.066,-0.122,-0.207
IPSL-CM5A-LR,-0.136,-0.112,-0.035,-0.155,-0.241
GFDL-CM3,-0.14,-0.143,-0.084,-0.145,-0.188
CNRM-CM5,-0.085,-0.105,0.014,-0.159,-0.089
MIROC-ESM-CHEM,-0.093,-0.103,0.059,-0.185,-0.143
bcc-csm1-1,0.055,0.024,0.139,0.035,0.023
NorESM1-ME,-0.487,-0.469,-0.403,-0.496,-0.576
HadGEM2-AO,-0.06,-0.04,0.087,-0.121,-0.165
bcc-csm1-1-m,0.109,0.075,0.214,0.015,0.134
MPI-ESM-LR,-0.089,-0.11,-0.006,-0.076,-0.165
MRI-ESM1,-0.08,-0.084,-0.045,-0.121,-0.072
