model_name,pr,prw,psl,rltcre,rlut,rstcre,rsut,ta-200,ta-850,tas,ua-200,ua-850,uas,va-200,va-850,vas,zg-500
MIROC4h,2.944,23.162,101097.330,28.138,238.734,-48.930,102.054,216.650,281.177,287.921,17.955,1.639,-0.381,-0.061,0.043,0.120,5667.383
ACCESS1-0,3.069,22.942,101121.193,25.104,241.455,-44.834,99.382,217.779,281.792,287.264,16.270,0.987,-0.580,0.048,0.041,0.074,5649.760
ACCESS1-3,3.153,23.756,101167.433,26.672,242.729,-44.530,98.504,215.940,282.580,287.491,17.065,0.775,-0.119,0.066,-0.032,0.113,5667.008
IPSL-CM5B-LR,2.798,24.130,101254.918,27.724,237.296,-49.596,101.105,218.068,280.349,286.797,17.096,0.872,-0.351,0.040,0.033,0.137,5612.587
CanCM4,2.757,22.618,101135.339,22.983,239.729,-53.920,107.919,215.002,280.916,287.291,17.115,1.124,-0.523,-0.020,0.059,0.161,5641.522
MIROC-ESM,2.783,23.322,101151.468,24.850,238.055,-54.253,105.499,218.027,280.470,287.168,16.653,0.833,-0.278,-0.106,0.070,0.114,5643.126
HadGEM2-AO,3.091,24.285,101123.470,25.237,236.136,-46.885,101.392,215.021,280.344,287.578,15.959,1.057,-0.348,0.086,0.023,0.217,5658.219
CanESM2,2.748,24.570,101130.785,24.813,242.217,-48.204,102.728,215.363,280.473,287.543,17.274,1.124,-0.338,-0.016,0.061,0.207,5643.574
MPI-ESM-P,2.929,23.626,101135.963,23.492,239.361,-46.266,100.879,217.400,280.103,287.421,15.307,1.029,-0.317,-0.054,0.122,0.104,5646.144
MPI-ESM-MR,2.987,25.490,101136.466,29.526,236.450,-45.454,106.591,216.376,281.535,287.578,15.685,1.037,-0.316,-0.036,0.124,0.072,5648.763
CSIRO-Mk3-6-0,2.877,24.833,101108.736,23.423,238.397,-46.796,97.752,218.699,280.699,286.307,15.983,1.182,-0.400,-0.027,0.016,0.066,5655.368
CESM1-BGC,2.969,25.551,101128.289,20.759,234.236,-40.651,96.938,216.316,281.558,287.447,16.302,0.996,-0.353,0.025,0.041,0.068,5680.822
inmcm4,3.153,25.390,101106.205,25.401,242.011,-46.517,97.282,215.113,280.354,286.904,14.119,0.639,-0.254,0.007,-0.003,0.063,5640.014
CESM1-FASTCHEM,2.973,22.318,101128.356,25.077,243.435,-49.507,101.767,213.105,280.535,287.478,16.419,0.994,-0.462,0.007,0.043,0.108,5681.595
BNU-ESM,3.035,25.420,101103.807,21.655,240.425,-41.756,98.283,216.112,280.515,287.066,17.117,1.010,-0.444,0.032,0.090,0.060,5657.018
CNRM-CM5-2,3.017,22.433,101137.770,23.388,236.846,-46.803,97.939,217.637,280.514,286.675,14.855,0.863,-0.352,-0.048,0.047,-0.040,5636.055
CCSM4,2.966,25.311,101128.114,23.813,239.618,-49.518,103.498,217.481,280.198,287.342,16.258,0.992,-0.421,0.014,0.039,0.051,5679.277
GFDL-CM2p1,2.910,25.433,101087.245,25.597,241.830,-48.321,103.821,214.657,280.226,286.889,14.763,0.562,-0.717,-0.036,0.058,0.029,5622.834
GFDL-ESM2G,2.964,22.955,101324.999,29.484,237.143,-49.315,104.517,217.736,280.618,286.966,14.796,0.593,-0.386,-0.008,0.044,0.118,5618.251
fio-esm,3.005,24.135,101103.905,23.865,237.300,-54.568,103.043,216.352,281.451,287.237,17.666,0.962,-0.394,-0.005,0.105,0.106,5653.720
bcc-csm1-1-m,2.864,25.914,101051.415,29.846,236.364,-54.576,105.506,215.150,279.849,288.434,15.075,0.615,-0.398,-0.003,0.042,0.062,5626.922
GFDL-ESM2M,2.982,23.234,101324.999,30.396,236.068,-51.863,105.202,215.291,281.154,287.462,16.564,0.491,-0.343,0.009,0.082,0.067,5655.069
NorESM1-M,2.807,22.058,101144.399,31.825,239.153,-51.565,101.771,216.174,280.050,286.806,16.104,0.636,-0.351,-0.013,0.045,0.138,5675.365
CESM1-WACCM,2.852,22.975,101142.458,30.829,232.400,-50.284,103.444,217.861,280.432,287.559,17.702,0.665,-0.203,-0.065,0.045,-0.007,5633.051
IPSL-CM5A-MR,2.791,22.571,101214.674,26.192,234.451,-42.539,104.833,213.150,280.768,286.992,17.837,0.617,-0.744,-0.042,0.048,0.038,5609.801
IPSL-CM5A-LR,2.711,22.655,101232.772,21.886,238.544,-53.901,96.368,214.106,280.166,286.209,16.217,0.668,-0.318,0.056,0.029,0.098,5632.144
GFDL-CM3,2.981,25.814,101080.762,22.727,236.984,-53.244,108.044,215.058,279.559,286.917,14.904,0.867,-0.149,-0.037,0.046,-0.027,5640.590
CNRM-CM5,3.049,23.847,101139.200,23.417,234.982,-54.206,103.630,217.199,281.555,287.041,16.537,0.837,-0.347,-0.089,0.060,0.209,5642.162
MIROC-ESM-CHEM,2.768,23.872,101152.574,29.668,240.028,-44.251,106.041,218.329,280.789,287.063,16.576,1.322,-0.338,0.064,0.001,-0.034,5648.431
