model_name,ann,djf,mam,jja,son
MIROC4h,-3.13,-2.475,-2.76,-4.459,-2.828
ACCESS1-0,0.966,2.446,0.175,-0.702,1.936
ACCESS1-3,1.27,2.997,-0.287,-0.019,2.365
IPSL-CM5B-LR,-3.796,-4.143,-4.193,-1.867,-4.985
MIROC-ESM,-8.12,-7.498,-6.638,-10.853,-7.482
MIROC5,-8.454,-7.514,-8.952,-8.781,-8.578
CanESM2,-1.085,-1.356,-0.444,-2.653,0.104
MPI-ESM-P,-2.404,-2.35,-2.596,-4.732,0.026
MPI-ESM-MR,-0.466,-0.245,-0.649,-2.842,1.828
CSIRO-Mk3-6-0,0.346,1.712,0.529,-1.078,0.208
CESM1-BGC,-0.996,0.032,-1.14,-3.727,0.835
inmcm4,5.149,4.901,4.264,5.494,5.925
CESM1-FASTCHEM,-0.717,0.682,-0.875,-3.606,0.915
BNU-ESM,-3.708,-2.378,-3.906,-6.786,-1.778
CNRM-CM5-2,4.044,4.791,2.817,3.36,5.191
CCSM4,-1.004,0.242,-1.239,-3.719,0.684
GFDL-ESM2G,-3.718,-2.11,-3.59,-4.838,-4.335
fio-esm,-2.521,-1.189,-3.275,-4.919,-0.729
GFDL-ESM2M,-3.515,-1.846,-3.758,-4.661,-3.796
NorESM1-M,-8.768,-9.606,-8.854,-9.822,-6.794
CESM1-WACCM,-8.776,-8.102,-8.427,-11.122,-7.464
IPSL-CM5A-MR,-6.063,-8.377,-7.114,-2.443,-6.313
IPSL-CM5A-LR,-5.766,-7.848,-6.579,-2.1,-6.536
GFDL-CM3,-4.484,-3.794,-5.283,-4.106,-4.758
CNRM-CM5,3.261,3.797,2.073,2.729,4.428
MIROC-ESM-CHEM,-8.101,-7.63,-6.324,-10.978,-7.466
bcc-csm1-1,-7.444,-7.344,-7.896,-8.559,-5.994
NorESM1-ME,-8.406,-8.841,-8.695,-9.692,-6.402
HadGEM2-AO,1.549,3.831,0.971,-0.605,1.986
MRI-CGCM3,-0.476,2.466,-0.617,-4.381,0.6
MPI-ESM-LR,-2.371,-2.405,-2.307,-4.689,-0.114
MRI-ESM1,-0.109,3.002,-0.486,-3.974,0.987
CESM1-CAM5,-2.993,-1.079,-3.796,-4.577,-2.538
