model_name,ann,son,mam,jja,djf
MIROC4h,2.962,3.09,3.359,3.899,1.514
ACCESS1-0,0.29,-0.104,1.053,1.734,-1.519
ACCESS1-3,-0.589,-0.54,-0.329,0.037,-1.513
IPSL-CM5B-LR,2.013,2.024,2.852,2.405,0.8
MIROC-ESM,8.827,9.164,8.17,10.879,7.092
MIROC5,6.407,4.845,8.766,7.701,4.356
CanESM2,2.3,2.0,1.813,3.046,2.355
MPI-ESM-P,3.636,1.106,3.445,6.793,3.235
MPI-ESM-MR,1.787,-0.491,1.57,4.995,1.114
CSIRO-Mk3-6-0,7.499,8.36,5.843,9.047,6.737
CESM1-BGC,-1.34,-2.551,-1.942,0.986,-1.84
inmcm4,-2.154,-3.44,-1.207,-2.116,-1.855
CESM1-FASTCHEM,-1.81,-2.762,-2.415,0.313,-2.365
BNU-ESM,2.675,1.893,3.594,3.504,1.723
CNRM-CM5-2,-0.809,-1.555,0.967,-0.095,-2.521
CCSM4,-1.153,-2.188,-1.669,0.92,-1.66
GFDL-CM2p1,4.406,4.555,5.944,5.293,1.85
GFDL-ESM2G,4.729,4.843,5.584,6.794,1.715
fio-esm,5.425,4.256,5.098,7.366,4.996
GFDL-ESM2M,3.951,4.034,4.519,6.044,1.224
NorESM1-M,6.414,4.307,6.059,8.614,6.682
CESM1-WACCM,6.11,4.88,5.418,8.598,5.564
IPSL-CM5A-MR,2.679,2.681,3.633,0.795,3.62
IPSL-CM5A-LR,4.352,4.821,5.198,2.392,5.019
GFDL-CM3,5.741,4.945,7.722,7.283,3.056
CNRM-CM5,-2.724,-3.576,-0.699,-1.801,-4.78
MIROC-ESM-CHEM,8.952,9.377,8.004,11.082,7.347
bcc-csm1-1,4.538,3.784,4.263,6.286,3.832
NorESM1-ME,6.949,5.119,6.419,8.924,7.333
HadGEM2-AO,-0.661,-1.141,0.121,1.606,-3.221
MRI-CGCM3,4.196,4.059,4.737,7.846,0.183
MPI-ESM-LR,3.798,1.327,3.681,6.967,3.253
MRI-ESM1,3.647,3.554,4.311,7.326,-0.554
CESM1-CAM5,1.573,1.361,1.842,3.29,-0.183
