model_name,ann,djf,mam,jja,son
MIROC4h,0.497,0.577,0.62,0.314,0.479
ACCESS1-0,-0.165,-0.351,-0.112,-0.181,-0.018
ACCESS1-3,-0.374,-0.534,-0.314,-0.34,-0.304
IPSL-CM5B-LR,-0.268,-0.31,-0.197,-0.357,-0.209
CanCM4,0.02,-0.088,0.2,-0.047,0.019
MIROC-ESM,-0.314,-0.545,-0.138,-0.351,-0.208
HadGEM2-AO,-0.092,-0.284,0.044,-0.1,-0.028
CanESM2,0.02,-0.071,0.168,-0.022,0.01
MPI-ESM-P,-0.075,-0.217,0.001,-0.032,-0.048
MPI-ESM-MR,-0.066,-0.152,0.03,-0.074,-0.065
CSIRO-Mk3-6-0,0.021,-0.019,0.101,0.077,-0.099
CESM1-BGC,-0.146,-0.212,-0.056,-0.21,-0.099
inmcm4,-0.465,-0.457,-0.376,-0.549,-0.477
CESM1-FASTCHEM,-0.148,-0.192,-0.034,-0.212,-0.145
BNU-ESM,-0.093,-0.225,-0.048,-0.015,-0.085
CNRM-CM5-2,-0.24,-0.238,-0.154,-0.309,-0.259
CCSM4,-0.151,-0.205,-0.069,-0.221,-0.105
GFDL-CM2p1,-0.58,-0.623,-0.645,-0.597,-0.464
GFDL-ESM2G,-0.551,-0.67,-0.598,-0.529,-0.414
fio-esm,-0.142,-0.236,-0.09,-0.227,-0.011
GFDL-ESM2M,-0.526,-0.684,-0.518,-0.513,-0.397
NorESM1-M,-0.613,-0.714,-0.537,-0.633,-0.567
CESM1-WACCM,-0.513,-0.589,-0.541,-0.436,-0.489
IPSL-CM5A-MR,-0.474,-0.556,-0.39,-0.447,-0.504
IPSL-CM5A-LR,-0.521,-0.648,-0.38,-0.528,-0.531
GFDL-CM3,-0.462,-0.576,-0.423,-0.438,-0.412
CNRM-CM5,-0.236,-0.25,-0.127,-0.327,-0.24
MIROC-ESM-CHEM,-0.313,-0.538,-0.127,-0.35,-0.225
MRI-ESM1,0.177,0.231,0.188,0.084,0.207
NorESM1-ME,-0.613,-0.771,-0.526,-0.593,-0.56
MIROC5,-0.578,-0.479,-0.581,-0.761,-0.502
MRI-CGCM3,0.151,0.264,0.181,-0.008,0.173
MPI-ESM-LR,-0.073,-0.2,0.0,-0.02,-0.07
bcc-csm1-1,0.203,0.163,0.238,0.218,0.195
CESM1-CAM5,-0.209,-0.225,-0.146,-0.322,-0.146
