model_name,ann,djf,mam,jja,son
MIROC4h,-0.028,0.01,-0.03,-0.039,-0.053
ACCESS1-0,-0.026,-0.04,-0.048,0.001,-0.015
ACCESS1-3,-0.1,-0.102,-0.113,-0.096,-0.087
IPSL-CM5B-LR,-0.04,-0.082,-0.084,0.01,-0.001
CanCM4,-0.034,-0.019,0.013,-0.047,-0.08
MIROC-ESM,0.0,0.055,0.028,-0.018,-0.063
HadGEM2-AO,-0.046,-0.113,-0.108,0.029,0.006
CanESM2,-0.031,-0.016,0.005,-0.047,-0.066
MPI-ESM-P,0.03,-0.023,0.014,0.103,0.026
MPI-ESM-MR,0.032,-0.038,-0.005,0.122,0.05
CSIRO-Mk3-6-0,-0.058,-0.141,-0.013,0.009,-0.093
CESM1-BGC,-0.028,0.011,-0.026,-0.056,-0.044
inmcm4,-0.095,0.047,-0.065,-0.227,-0.135
CESM1-FASTCHEM,-0.026,0.02,-0.023,-0.063,-0.042
BNU-ESM,-0.003,0.084,0.039,-0.084,-0.05
CNRM-CM5-2,-0.045,-0.034,-0.032,-0.056,-0.059
CCSM4,-0.03,0.015,-0.024,-0.063,-0.049
GFDL-CM2p1,-0.015,-0.029,-0.045,0.006,0.007
GFDL-ESM2G,-0.028,-0.082,-0.071,0.036,0.005
fio-esm,0.013,0.107,0.018,-0.059,-0.014
GFDL-ESM2M,-0.032,-0.071,-0.081,0.012,0.013
NorESM1-M,-0.01,0.046,-0.003,-0.062,-0.023
CESM1-WACCM,-0.026,0.011,-0.003,-0.062,-0.057
IPSL-CM5A-MR,-0.027,0.022,-0.033,-0.063,-0.032
IPSL-CM5A-LR,-0.025,0.007,-0.033,-0.044,-0.026
GFDL-CM3,-0.047,-0.076,-0.097,-0.012,-0.006
CNRM-CM5,-0.046,-0.038,-0.028,-0.061,-0.056
MIROC-ESM-CHEM,-0.01,0.041,0.025,-0.02,-0.075
MRI-ESM1,-0.068,-0.13,-0.081,-0.013,-0.049
NorESM1-ME,-0.005,0.063,0.007,-0.064,-0.028
MIROC5,0.012,-0.09,-0.002,0.129,0.012
MRI-CGCM3,-0.069,-0.137,-0.087,-0.012,-0.042
MPI-ESM-LR,0.034,-0.028,0.026,0.101,0.037
bcc-csm1-1,-0.022,-0.021,-0.011,-0.03,-0.025
CESM1-CAM5,-0.018,0.003,-0.013,-0.033,-0.031
