model_name,ann,son,mam,jja,djf
ACCESS1-0,-0.047,-0.032,-0.084,-0.076,0.003
ACCESS1-3,-0.093,-0.077,-0.138,-0.15,-0.008
MIROC4h,-0.055,-0.022,-0.091,-0.115,0.007
MIROC-ESM,-0.031,-0.079,-0.006,-0.139,0.1
MIROC5,-0.007,-0.033,-0.015,0.071,-0.05
CanESM2,-0.054,-0.043,-0.061,-0.015,-0.096
MPI-ESM-P,0.049,0.094,-0.004,0.188,-0.082
MPI-ESM-MR,0.039,0.113,-0.05,0.201,-0.107
CSIRO-Mk3-6-0,-0.064,-0.059,-0.065,-0.032,-0.1
inmcm4,-0.096,-0.095,-0.089,-0.186,-0.015
BNU-ESM,-0.101,-0.065,-0.149,-0.14,-0.052
CNRM-CM5-2,-0.1,-0.061,-0.151,-0.057,-0.13
IPSL-CM5B-LR,-0.105,-0.069,-0.161,-0.121,-0.068
GFDL-CM2p1,-0.059,0.014,-0.141,-0.038,-0.073
GFDL-ESM2G,-0.108,-0.031,-0.202,-0.041,-0.158
MRI-CGCM3,-0.207,-0.189,-0.214,-0.127,-0.298
GFDL-ESM2M,-0.116,-0.039,-0.201,-0.092,-0.135
NorESM1-M,-0.138,-0.095,-0.179,-0.111,-0.169
IPSL-CM5A-MR,-0.05,-0.051,-0.069,-0.135,0.056
IPSL-CM5A-LR,-0.062,-0.071,-0.079,-0.142,0.044
GFDL-CM3,-0.105,-0.012,-0.222,-0.063,-0.124
CNRM-CM5,-0.101,-0.055,-0.151,-0.063,-0.133
MIROC-ESM-CHEM,-0.03,-0.081,0.011,-0.138,0.089
bcc-csm1-1,-0.175,-0.129,-0.207,-0.17,-0.193
NorESM1-ME,-0.13,-0.093,-0.162,-0.114,-0.151
HadGEM2-AO,-0.069,0.02,-0.178,-0.017,-0.102
bcc-csm1-1-m,-0.194,-0.176,-0.207,-0.201,-0.194
MPI-ESM-LR,0.041,0.091,0.001,0.172,-0.099
MRI-ESM1,-0.202,-0.179,-0.198,-0.124,-0.304
