model_name,pr,prw,psl,rltcre,rlut,rstcre,rsut,ta-200,ta-850,tas,ua-200,ua-850,uas,va-200,va-850,vas,zg-500
MIROC4h,0.253,43.579,-37.549,0.146,-1.543,-3.130,2.962,-2.156,-0.435,0.367,2.335,0.497,-0.124,-0.007,-0.028,-0.047,1.927
ACCESS1-0,0.379,43.516,-13.686,-2.888,1.178,0.966,0.290,-1.027,0.193,-0.290,0.651,-0.165,-0.322,0.103,-0.026,-0.093,-15.696
ACCESS1-3,0.462,44.424,32.554,-1.320,2.451,1.270,-0.589,-2.866,0.993,-0.063,1.445,-0.374,0.139,0.121,-0.100,-0.055,1.552
IPSL-CM5B-LR,0.107,45.120,120.039,-0.269,-2.981,-3.796,2.013,-0.738,-0.753,-0.757,1.477,-0.268,-0.093,0.095,-0.040,-0.031,-52.869
CanCM4,0.066,42.906,0.460,-5.009,-0.549,-8.120,8.827,-3.803,-0.627,-0.264,1.495,0.020,-0.266,0.034,-0.034,-0.007,-23.934
MIROC-ESM,0.093,43.981,16.589,-3.142,-2.222,-8.454,6.407,-0.779,-0.631,-0.386,1.033,-0.314,-0.020,-0.051,0.000,-0.054,-22.330
HadGEM2-AO,0.401,44.898,-11.410,-2.755,-4.142,-1.085,2.300,-3.785,-0.757,0.024,0.340,-0.092,-0.090,0.141,-0.046,0.049,-7.237
CanESM2,0.057,45.240,-4.094,-3.179,1.940,-2.404,3.636,-3.442,-0.629,-0.011,1.654,0.020,-0.080,0.038,-0.031,0.039,-21.882
MPI-ESM-P,0.239,44.323,1.084,-4.500,-0.917,-0.466,1.787,-1.406,-1.442,-0.134,-0.313,-0.075,-0.059,0.000,0.030,-0.064,-19.312
MPI-ESM-MR,0.297,46.325,1.587,1.534,-3.827,0.346,7.499,-2.429,-0.062,0.024,0.065,-0.066,-0.058,0.018,0.032,-0.096,-16.693
CSIRO-Mk3-6-0,0.186,45.907,-26.143,-4.569,-1.880,-0.996,-1.340,-0.107,-0.403,-1.247,0.363,0.021,-0.142,0.027,-0.058,-0.101,-10.088
CESM1-BGC,0.278,46.381,-6.590,-7.233,-6.041,5.149,-2.154,-2.490,-0.037,-0.107,0.682,-0.146,-0.095,0.079,-0.028,-0.100,15.366
inmcm4,0.462,46.234,-28.674,-2.591,1.734,-0.717,-1.810,-3.693,-0.748,-0.650,-1.501,-0.465,0.004,0.061,-0.095,-0.105,-25.442
CESM1-FASTCHEM,0.282,42.926,-6.523,-2.915,3.157,-3.708,2.675,-5.701,-0.566,-0.076,0.799,-0.148,-0.204,0.061,-0.026,-0.059,16.139
BNU-ESM,0.344,46.244,-31.072,-6.338,0.148,4.044,-0.809,-2.694,-1.029,-0.488,1.498,-0.093,-0.186,0.087,-0.003,-0.108,-8.438
CNRM-CM5-2,0.327,43.148,2.890,-4.604,-3.432,-1.004,-1.153,-1.169,-1.039,-0.879,-0.765,-0.240,-0.094,0.007,-0.045,-0.207,-29.401
CCSM4,0.276,46.147,-6.765,-4.179,-0.659,-3.718,4.406,-1.325,-1.361,-0.212,0.638,-0.151,-0.163,0.068,-0.030,-0.116,13.821
GFDL-CM2p1,0.220,46.413,-47.634,-2.395,1.553,-2.521,4.729,-4.148,-0.876,-0.665,-0.856,-0.580,-0.459,0.019,-0.015,-0.138,-42.621
GFDL-ESM2G,0.273,43.677,190.120,1.491,-3.134,-3.515,5.425,-1.070,-0.932,-0.588,-0.824,-0.551,-0.128,0.046,-0.028,-0.050,-47.205
fio-esm,0.315,44.860,-30.974,-4.127,-2.977,-8.768,3.951,-2.454,-0.147,-0.317,2.047,-0.142,-0.136,0.049,0.013,-0.062,-11.736
bcc-csm1-1-m,0.173,46.678,-83.464,1.853,-3.914,-8.776,6.414,-3.655,-1.253,0.880,-0.545,-0.526,-0.140,0.051,-0.032,-0.105,-38.534
GFDL-ESM2M,0.291,44.092,190.120,2.404,-4.209,-6.063,6.110,-3.515,-0.421,-0.092,0.944,-0.613,-0.085,0.063,-0.010,-0.101,-10.387
NorESM1-M,0.116,42.807,9.520,3.833,-1.124,-5.766,2.679,-2.632,-1.495,-0.748,0.485,-0.513,-0.093,0.041,-0.026,-0.030,9.909
CESM1-WACCM,0.162,43.724,7.578,2.837,-7.877,-4.484,4.352,-0.945,-1.092,0.005,2.082,-0.474,0.055,-0.011,-0.027,-0.175,-32.405
IPSL-CM5A-MR,0.100,43.238,79.795,-1.801,-5.826,3.261,5.741,-5.656,-0.334,-0.562,2.217,-0.521,-0.487,0.013,-0.025,-0.130,-55.655
IPSL-CM5A-LR,0.020,42.937,97.893,-6.106,-1.734,-8.101,-2.724,-4.699,-0.936,-1.345,0.598,-0.462,-0.060,0.111,-0.047,-0.069,-33.312
GFDL-CM3,0.291,46.949,-54.117,-5.265,-3.294,-7.444,8.952,-3.748,-1.543,-0.637,-0.716,-0.236,0.109,0.018,-0.046,-0.194,-24.866
CNRM-CM5,0.358,44.541,4.321,-4.576,-5.295,-8.406,4.538,-1.606,-0.039,-0.513,0.918,-0.313,-0.089,-0.035,-0.010,0.041,-23.293
MIROC-ESM-CHEM,0.077,44.304,17.695,1.675,-0.250,1.549,6.949,-0.477,-0.795,-0.491,0.957,0.177,-0.080,0.118,-0.068,-0.202,-17.024
