model_name,pr,prw,psl,rltcre,rlut,rstcre,rsut,ta-200,ta-850,tas,ua-200,ua-850,uas,va-200,va-850,vas,zg-500
MIROC4h,2.072,13.640,994.432,12.707,30.703,22.049,14.006,2.307,9.816,13.865,13.332,5.822,3.477,2.562,1.379,1.700,265.711
ACCESS1-0,2.459,12.949,844.766,10.707,31.968,19.562,16.527,2.978,10.096,14.221,11.730,5.431,3.774,2.731,1.365,1.822,248.417
ACCESS1-3,2.478,13.840,872.259,12.331,33.543,19.675,15.989,4.752,9.944,14.399,12.104,5.862,3.659,2.660,1.362,1.805,257.121
IPSL-CM5B-LR,1.993,13.456,927.907,12.544,29.529,24.503,18.070,3.506,11.902,14.279,12.352,4.805,3.774,2.697,1.370,1.876,223.344
CanCM4,2.164,11.989,870.639,10.875,30.700,24.683,16.875,2.592,9.724,15.006,13.683,6.111,3.267,2.481,1.602,1.785,276.514
MIROC-ESM,2.029,13.957,907.071,10.444,28.656,23.321,15.498,3.727,11.840,13.614,12.638,6.519,4.219,2.368,1.372,2.239,253.112
HadGEM2-AO,2.332,13.268,848.174,12.509,27.801,22.012,17.039,2.256,10.937,13.946,11.842,5.286,3.537,2.682,1.372,1.736,246.899
CanESM2,2.181,13.356,863.281,9.747,31.645,22.208,19.655,1.999,10.954,14.917,13.857,6.023,3.508,2.430,1.569,1.686,275.853
MPI-ESM-P,2.272,13.784,780.180,8.824,31.358,21.872,19.950,3.488,10.458,14.088,12.084,5.292,3.492,2.430,1.494,1.884,249.526
MPI-ESM-MR,2.215,14.616,778.123,14.292,29.236,23.367,15.400,3.359,9.998,14.150,11.860,5.318,3.755,2.438,1.479,1.470,250.312
CSIRO-Mk3-6-0,2.627,14.140,863.987,12.041,29.341,21.242,18.726,3.475,10.762,15.100,12.597,5.363,4.014,2.482,1.394,1.815,258.453
CESM1-BGC,2.027,14.667,944.273,8.641,32.591,18.088,13.983,3.599,9.989,14.732,12.293,6.311,3.234,2.411,1.449,1.508,269.880
inmcm4,2.239,14.609,797.689,12.216,29.468,21.227,18.978,4.081,11.375,13.429,12.523,5.587,2.954,1.797,1.135,1.556,235.428
CESM1-FASTCHEM,2.047,12.175,954.649,11.924,29.275,21.335,16.963,1.769,10.730,14.692,12.227,6.319,3.794,2.411,1.473,1.623,270.474
BNU-ESM,2.022,14.603,906.249,10.061,29.292,20.058,17.287,2.262,9.774,14.752,13.121,6.425,3.656,2.378,1.496,1.568,271.885
CNRM-CM5-2,1.898,12.615,748.807,11.798,30.823,21.155,18.669,2.783,10.244,14.793,11.441,5.239,3.461,2.448,1.371,1.877,248.713
CCSM4,2.002,14.834,947.391,11.475,27.764,19.671,16.952,2.656,10.207,14.789,12.280,6.320,3.593,2.358,1.452,1.530,270.631
GFDL-CM2p1,2.155,14.808,894.740,11.336,29.314,21.205,17.326,4.237,11.215,13.789,12.407,6.110,4.694,2.316,1.381,2.356,259.183
GFDL-ESM2G,2.215,12.775,878.880,14.142,29.140,18.565,18.141,2.742,10.053,13.757,12.215,5.920,3.317,2.447,1.386,1.658,254.872
fio-esm,1.965,13.647,914.389,9.944,29.735,23.732,16.207,3.321,10.036,14.667,13.239,6.405,3.282,2.344,1.535,1.631,270.435
bcc-csm1-1-m,1.968,14.536,1008.646,13.855,30.273,23.879,18.740,3.232,10.812,14.689,12.246,5.764,3.577,2.262,1.323,1.606,253.059
GFDL-ESM2M,2.024,14.127,855.397,12.960,29.221,27.743,19.424,4.390,10.099,13.485,11.829,6.202,3.233,2.662,1.667,1.505,256.007
NorESM1-M,2.080,13.108,870.973,12.556,31.121,27.872,19.714,3.577,10.451,14.330,12.431,5.995,3.790,2.382,1.342,1.878,260.550
CESM1-WACCM,2.016,13.127,942.171,12.801,29.244,21.182,20.051,2.470,10.078,14.698,13.524,5.786,3.480,2.587,1.445,1.740,247.814
IPSL-CM5A-MR,2.164,12.270,866.203,13.685,30.568,20.096,16.386,1.838,10.574,13.640,13.628,5.822,4.780,2.694,1.413,2.403,246.352
IPSL-CM5A-LR,2.078,12.012,873.320,10.003,33.476,24.835,17.055,3.411,12.035,13.846,13.054,5.824,3.348,2.586,1.388,1.624,261.729
GFDL-CM3,2.017,15.024,892.143,10.834,33.227,19.917,16.847,3.296,11.088,13.870,11.452,5.206,3.709,2.423,1.359,1.806,246.200
CNRM-CM5,1.913,13.661,742.175,12.936,28.810,23.986,16.836,2.420,9.729,14.464,12.559,6.550,3.566,2.317,1.371,1.735,254.031
MIROC-ESM-CHEM,2.013,12.855,907.635,13.845,27.514,18.769,18.749,2.191,9.931,13.711,12.477,5.586,3.470,2.595,1.485,1.889,259.797
