model_name,ann,djf,mam,jja,son
GISS-E2-1-G,0.277,0.299,0.301,0.26,0.25
GFDL-CM4,0.195,0.175,0.194,0.239,0.171
EC-Earth3,0.171,0.19,0.178,0.186,0.13
BCC-CSM2-MR,0.251,0.26,0.269,0.25,0.224
MRI-ESM2-0,0.28,0.279,0.289,0.31,0.242
GISS-E2-1-H,0.302,0.32,0.323,0.282,0.283
SAM0-UNICON,0.31,0.316,0.298,0.337,0.291
EC-Earth3-Veg,0.215,0.234,0.226,0.233,0.169
CESM2,0.243,0.225,0.232,0.313,0.201
MIROC6,0.467,0.412,0.487,0.548,0.423
NESM3,0.151,0.168,0.146,0.183,0.106
CESM2-WACCM,0.22,0.21,0.204,0.287,0.179
IPSL-CM6A-LR,0.318,0.295,0.334,0.334,0.311
BCC-ESM1,0.079,0.087,0.089,0.087,0.054
CAMS-CSM1-0,0.052,0.021,0.107,0.093,-0.011
E3SM-1-0,0.342,0.336,0.362,0.357,0.314
