model_name,ann,djf,mam,jja,son
GISS-E2-1-G,1.331,1.571,1.81,1.752,1.469
GFDL-CM4,0.944,1.324,1.17,1.333,1.112
EC-Earth3,0.933,1.241,1.473,1.228,1.166
BCC-CSM2-MR,1.267,1.691,1.815,1.577,1.486
MRI-ESM2-0,1.194,1.528,1.542,1.66,1.581
GISS-E2-1-H,1.396,1.644,1.883,1.915,1.577
SAM0-UNICON,1.157,1.48,1.408,1.482,1.378
EC-Earth3-Veg,0.954,1.237,1.529,1.281,1.2
CESM2,0.885,1.227,1.201,1.34,1.178
MIROC6,1.008,1.41,1.241,1.579,1.137
NESM3,1.196,1.932,1.706,1.666,1.307
CESM2-WACCM,0.893,1.209,1.148,1.331,1.129
IPSL-CM6A-LR,1.324,1.623,1.666,1.595,1.412
BCC-ESM1,1.219,1.599,1.689,1.515,1.441
CAMS-CSM1-0,1.338,1.668,1.804,1.894,1.418
E3SM-1-0,1.128,1.359,1.651,1.518,1.278
