model_name,ann,son,mam,jja,djf
ACCESS1-0,5.606,6.261,8.041,7.061,7.315
ACCESS1-3,5.496,6.78,8.29,7.457,8.034
bcc-csm1-1,6.056,7.094,8.1,7.434,7.681
bcc-csm1-1-m,10.576,11.568,12.608,12.744,11.675
BNU-ESM,6.772,7.931,9.263,8.398,8.438
CanESM2,7.372,9.003,9.704,9.249,8.713
CCSM4,6.98,7.925,9.463,8.589,8.306
CESM1-BGC,7.135,8.172,9.846,8.842,8.453
CESM1-CAM5,6.344,7.459,8.773,7.733,8.001
CESM1-FASTCHEM,7.021,8.087,9.614,8.517,8.41
CESM1-WACCM,8.333,8.937,9.857,11.263,9.749
CMCC-CESM,7.398,7.502,10.219,10.848,8.917
CMCC-CM,5.392,7.054,8.135,7.247,7.771
CMCC-CMS,5.02,6.68,8.071,7.562,7.182
CNRM-CM5,8.103,8.573,10.312,9.489,9.462
CSIRO-Mk3-6-0,8.397,9.245,9.925,10.787,9.951
FGOALS-g2,7.487,8.56,8.888,9.715,9.166
FIO-ESM,7.015,7.652,9.93,8.997,8.959
GFDL-CM3,7.542,9.738,12.106,10.397,9.707
GFDL-ESM2G,6.953,8.381,9.52,9.064,8.287
GFDL-ESM2M,6.418,7.889,9.382,8.424,7.733
GISS-E2-H,10.456,10.844,11.578,12.769,12.416
GISS-E2-H-CC,10.611,10.915,11.679,13.065,12.577
GISS-E2-R,10.388,10.704,11.462,12.531,12.35
GISS-E2-R-CC,10.418,10.689,11.502,12.539,12.447
HadCM3,7.881,8.716,9.004,9.849,8.747
HadGEM2-AO,5.478,6.698,8.566,6.875,7.013
HadGEM2-CC,5.869,6.888,8.632,7.023,7.785
HadGEM2-ES,5.681,6.739,8.369,7.046,7.471
inmcm4,10.254,11.201,11.74,12.241,11.593
IPSL-CM5A-LR,9.369,10.726,11.676,11.687,10.787
IPSL-CM5A-MR,10.309,11.397,12.826,12.03,11.812
IPSL-CM5B-LR,8.013,9.246,10.949,11.229,9.468
MIROC-ESM,7.469,8.811,8.752,9.682,9.907
MIROC-ESM-CHEM,7.521,8.899,8.832,9.521,10.006
MIROC4h,6.703,8.272,9.817,9.076,8.46
MIROC5,4.892,6.002,6.311,7.675,6.263
MPI-ESM-LR,5.97,6.372,7.975,7.828,7.769
MPI-ESM-MR,6.533,6.82,8.561,8.007,8.34
MPI-ESM-P,6.167,6.504,8.052,7.976,8.063
NorESM1-M,8.963,9.601,11.096,11.271,10.803
NorESM1-ME,8.774,9.381,10.55,11.128,10.468
