model_name,ann,son,mam,jja,djf
ACCESS1-0,1.174,1.145,1.211,1.136,1.459
ACCESS1-3,1.141,1.384,1.022,1.215,1.268
bcc-csm1-1,2.652,2.681,2.894,2.848,2.838
bcc-csm1-1-m,2.688,2.635,2.923,2.882,2.882
BNU-ESM,1.431,1.516,1.962,2.454,1.779
CanCM4,1.793,2.028,1.842,2.226,2.069
CanESM2,1.749,1.938,1.756,2.382,1.876
CCSM4,1.048,1.088,1.089,1.314,1.346
CESM1-BGC,1.028,1.077,1.067,1.285,1.273
CESM1-CAM5,1.342,1.394,1.389,1.437,1.565
CESM1-FASTCHEM,1.082,1.11,1.153,1.336,1.339
CESM1-WACCM,1.162,1.164,1.215,1.574,1.309
CMCC-CESM,1.746,2.027,1.718,1.969,2.001
CMCC-CM,1.391,1.554,1.363,1.452,1.706
CMCC-CMS,1.245,1.359,1.255,1.485,1.492
CNRM-CM5,1.077,1.031,1.474,1.117,1.592
CSIRO-Mk3-6-0,2.082,2.184,1.945,2.083,2.37
FGOALS-g2,1.974,2.018,2.048,1.947,2.211
FIO-ESM,1.554,1.606,1.855,1.879,1.614
GFDL-CM2p1,1.603,1.797,1.795,1.349,2.166
GFDL-CM3,1.665,1.696,1.916,1.811,1.901
GFDL-ESM2G,2.088,2.154,2.097,1.858,2.666
GFDL-ESM2M,1.775,1.894,1.836,1.627,2.235
GISS-E2-H,1.796,1.786,1.946,1.91,2.081
GISS-E2-H-CC,1.522,1.554,1.611,1.751,1.783
GISS-E2-R,1.45,1.489,1.513,1.759,1.75
GISS-E2-R-CC,1.469,1.487,1.565,1.756,1.736
HadCM3,1.229,1.462,1.349,1.481,1.608
HadGEM2-AO,1.3,1.147,1.315,1.232,1.618
HadGEM2-CC,1.525,1.456,1.649,1.369,1.967
HadGEM2-ES,1.362,1.27,1.457,1.261,1.734
inmcm4,2.569,2.558,3.19,3.781,2.197
IPSL-CM5A-LR,2.017,2.024,2.091,1.829,2.46
IPSL-CM5A-MR,1.404,1.423,1.398,1.306,1.659
IPSL-CM5B-LR,2.373,2.204,2.558,2.131,2.852
MIROC4h,1.494,1.463,1.486,1.726,1.708
MIROC5,1.589,1.63,1.73,1.774,1.803
MPI-ESM-LR,1.333,1.399,1.304,1.536,1.592
MPI-ESM-MR,1.244,1.263,1.287,1.416,1.575
MPI-ESM-P,1.309,1.349,1.305,1.484,1.598
NorESM1-M,1.725,1.854,1.919,1.889,2.066
NorESM1-ME,1.965,2.058,2.177,2.154,2.193
