model_name,ann,son,mam,jja,djf
ACCESS1-0,0.039,0.044,0.041,0.042,0.049
ACCESS1-3,0.039,0.045,0.041,0.042,0.048
bcc-csm1-1,0.035,0.038,0.04,0.04,0.045
bcc-csm1-1-m,0.034,0.036,0.041,0.039,0.041
BNU-ESM,0.039,0.042,0.044,0.043,0.056
CanCM4,0.059,0.066,0.061,0.071,0.072
CanESM2,0.057,0.063,0.06,0.072,0.069
CCSM4,0.024,0.025,0.028,0.027,0.035
CESM1-BGC,0.024,0.026,0.028,0.026,0.035
CESM1-CAM5,0.032,0.036,0.034,0.033,0.042
CESM1-FASTCHEM,0.025,0.027,0.028,0.026,0.038
CESM1-WACCM,0.038,0.041,0.039,0.037,0.05
CMCC-CESM,0.041,0.045,0.046,0.047,0.047
CMCC-CM,0.02,0.026,0.024,0.025,0.028
CMCC-CMS,0.027,0.033,0.03,0.032,0.033
CNRM-CM5,0.026,0.028,0.028,0.029,0.034
CSIRO-Mk3-6-0,0.047,0.054,0.049,0.061,0.062
FGOALS-g2,0.041,0.045,0.041,0.043,0.053
FIO-ESM,0.037,0.039,0.041,0.04,0.049
GFDL-CM3,0.029,0.036,0.035,0.033,0.038
GFDL-ESM2G,0.03,0.035,0.037,0.035,0.043
GFDL-ESM2M,0.03,0.034,0.035,0.033,0.042
GISS-E2-H,0.048,0.049,0.05,0.055,0.055
GISS-E2-H-CC,0.048,0.05,0.05,0.056,0.054
GISS-E2-R,0.046,0.047,0.049,0.053,0.053
GISS-E2-R-CC,0.046,0.047,0.051,0.054,0.052
HadCM3,0.03,0.036,0.034,0.035,0.039
HadGEM2-AO,0.025,0.028,0.026,0.031,0.034
HadGEM2-CC,0.026,0.029,0.027,0.031,0.038
HadGEM2-ES,0.025,0.03,0.027,0.03,0.035
inmcm4,0.031,0.038,0.035,0.041,0.043
IPSL-CM5A-LR,0.04,0.044,0.041,0.042,0.052
IPSL-CM5A-MR,0.034,0.04,0.034,0.041,0.042
IPSL-CM5B-LR,0.041,0.044,0.046,0.046,0.053
MIROC-ESM,0.042,0.045,0.044,0.044,0.057
MIROC-ESM-CHEM,0.042,0.044,0.045,0.043,0.058
MIROC4h,0.025,0.032,0.025,0.028,0.034
MIROC5,0.051,0.061,0.052,0.068,0.065
MPI-ESM-LR,0.025,0.031,0.029,0.032,0.033
MPI-ESM-MR,0.027,0.034,0.03,0.033,0.038
MPI-ESM-P,0.024,0.031,0.028,0.031,0.035
NorESM1-M,0.027,0.029,0.031,0.031,0.038
NorESM1-ME,0.028,0.029,0.031,0.032,0.038
