model_name,ann,son,mam,jja,djf
ACCESS1-0,0.027,0.029,0.03,0.036,0.036
ACCESS1-3,0.027,0.03,0.029,0.037,0.036
bcc-csm1-1,0.026,0.028,0.03,0.032,0.036
bcc-csm1-1-m,0.025,0.027,0.029,0.027,0.035
BNU-ESM,0.024,0.027,0.028,0.03,0.035
CanCM4,0.037,0.041,0.042,0.042,0.051
CanESM2,0.036,0.04,0.041,0.042,0.05
CCSM4,0.019,0.021,0.021,0.02,0.028
CESM1-BGC,0.019,0.021,0.021,0.02,0.027
CESM1-CAM5,0.021,0.023,0.023,0.027,0.028
CESM1-FASTCHEM,0.019,0.021,0.021,0.02,0.028
CESM1-WACCM,0.024,0.026,0.025,0.03,0.031
CMCC-CESM,0.027,0.03,0.031,0.036,0.034
CMCC-CM,0.015,0.018,0.018,0.02,0.022
CMCC-CMS,0.018,0.021,0.022,0.025,0.024
CNRM-CM5,0.017,0.02,0.019,0.021,0.022
CSIRO-Mk3-6-0,0.033,0.038,0.036,0.044,0.051
FGOALS-g2,0.024,0.025,0.025,0.029,0.031
FIO-ESM,0.023,0.025,0.027,0.027,0.032
GFDL-CM3,0.021,0.025,0.026,0.026,0.027
GFDL-ESM2G,0.022,0.026,0.026,0.026,0.032
GFDL-ESM2M,0.022,0.025,0.025,0.026,0.031
GISS-E2-H,0.043,0.045,0.047,0.049,0.045
GISS-E2-H-CC,0.043,0.045,0.047,0.049,0.045
GISS-E2-R,0.039,0.04,0.043,0.046,0.042
GISS-E2-R-CC,0.039,0.041,0.043,0.046,0.041
HadCM3,0.022,0.025,0.026,0.029,0.028
HadGEM2-AO,0.02,0.022,0.022,0.026,0.025
HadGEM2-CC,0.021,0.024,0.023,0.027,0.027
HadGEM2-ES,0.021,0.024,0.023,0.027,0.027
inmcm4,0.023,0.026,0.028,0.034,0.031
IPSL-CM5A-LR,0.023,0.026,0.026,0.028,0.03
IPSL-CM5A-MR,0.022,0.025,0.024,0.025,0.03
IPSL-CM5B-LR,0.024,0.027,0.027,0.029,0.031
MIROC-ESM,0.028,0.031,0.031,0.039,0.04
MIROC-ESM-CHEM,0.028,0.03,0.031,0.039,0.04
MIROC4h,0.02,0.023,0.023,0.026,0.024
MIROC5,0.043,0.049,0.049,0.069,0.057
MPI-ESM-LR,0.018,0.02,0.022,0.025,0.024
MPI-ESM-MR,0.02,0.023,0.023,0.027,0.026
MPI-ESM-P,0.019,0.02,0.022,0.025,0.025
NorESM1-M,0.02,0.022,0.023,0.024,0.03
NorESM1-ME,0.021,0.023,0.023,0.025,0.031
