model_name,ann,son,mam,jja,djf
ACCESS1-0,0.986,1.562,1.49,1.758,1.613
ACCESS1-3,1.191,1.858,1.675,1.938,1.842
bcc-csm1-1,1.348,1.654,1.79,1.716,2.366
bcc-csm1-1-m,1.86,1.946,2.306,2.03,3.338
BNU-ESM,1.391,1.76,1.817,1.752,2.342
CanCM4,1.467,2.04,1.886,1.649,2.344
CanESM2,1.387,1.798,1.862,1.602,2.211
CCSM4,1.194,1.615,1.624,1.493,2.176
CESM1-BGC,1.2,1.61,1.603,1.585,2.148
CESM1-CAM5,1.135,1.364,1.634,1.499,1.848
CESM1-FASTCHEM,1.271,1.687,1.733,1.536,2.18
CESM1-WACCM,1.391,1.901,1.84,1.84,2.045
CMCC-CESM,1.742,1.808,2.42,2.567,2.622
CMCC-CM,1.239,1.591,1.988,1.826,2.217
CMCC-CMS,1.164,1.651,1.914,1.999,2.008
CNRM-CM5,1.008,1.349,1.599,1.588,1.77
CSIRO-Mk3-6-0,1.57,1.614,2.106,1.915,2.474
FGOALS-g2,1.36,1.551,1.796,1.915,2.506
FIO-ESM,1.463,1.586,1.876,1.73,2.532
GFDL-CM2p1,1.239,1.794,1.518,1.516,2.063
GFDL-CM3,1.316,1.68,1.888,1.981,1.901
GFDL-ESM2G,1.288,1.781,1.666,1.704,1.997
GFDL-ESM2M,1.262,1.678,1.583,1.814,2.119
GISS-E2-H,2.025,2.37,2.391,2.731,2.843
GISS-E2-H-CC,2.01,2.366,2.35,2.718,2.839
GISS-E2-R,1.818,1.957,2.2,2.521,2.706
GISS-E2-R-CC,1.914,2.066,2.308,2.643,2.806
HadCM3,1.455,1.842,1.929,2.266,1.857
HadGEM2-AO,0.977,1.49,1.531,1.7,1.65
HadGEM2-CC,0.989,1.415,1.518,1.839,1.791
HadGEM2-ES,0.966,1.462,1.49,1.735,1.632
inmcm4,1.478,1.833,1.714,1.952,2.35
IPSL-CM5A-LR,1.687,1.921,1.878,2.117,2.567
IPSL-CM5A-MR,1.576,1.911,1.835,1.802,2.494
IPSL-CM5B-LR,1.726,1.973,1.992,2.447,2.629
MIROC-ESM,1.572,1.832,1.839,1.983,2.754
MIROC-ESM-CHEM,1.534,1.904,1.706,1.915,2.702
MIROC4h,1.172,1.677,1.806,1.819,2.138
MIROC5,1.324,1.694,1.686,2.184,2.324
MPI-ESM-LR,1.083,1.36,1.504,1.616,1.705
MPI-ESM-MR,1.123,1.433,1.605,1.6,1.853
MPI-ESM-P,1.162,1.397,1.534,1.653,1.898
NorESM1-M,1.382,1.718,2.089,1.999,2.236
NorESM1-ME,1.443,1.77,2.014,1.861,2.278
