model_name,ann,son,mam,jja,djf
ACCESS1-0,20.372,24.786,22.053,24.646,27.091
ACCESS1-3,13.882,20.646,15.178,22.452,20.161
bcc-csm1-1,26.441,30.345,29.622,27.028,34.738
bcc-csm1-1-m,32.552,31.024,41.098,34.507,39.864
BNU-ESM,27.527,31.98,33.97,41.674,44.679
CanCM4,34.256,39.556,35.21,37.214,40.103
CanESM2,32.268,37.435,33.371,37.647,35.036
CCSM4,26.929,27.802,29.253,33.937,33.174
CESM1-BGC,26.762,29.601,29.328,31.954,32.497
CESM1-CAM5,14.853,17.277,18.811,18.09,21.545
CESM1-FASTCHEM,29.125,29.779,30.395,34.24,37.037
CESM1-WACCM,29.214,30.316,28.443,37.799,33.046
CMCC-CESM,33.647,34.127,37.383,34.703,44.093
CMCC-CM,22.093,24.749,21.741,24.643,29.269
CMCC-CMS,21.35,25.738,22.427,25.762,27.45
CNRM-CM5,32.066,33.269,36.086,32.814,40.185
CSIRO-Mk3-6-0,25.292,27.903,28.005,29.378,37.521
FGOALS-g2,48.423,51.01,47.467,46.764,59.541
FIO-ESM,30.742,33.259,31.776,32.521,39.581
GFDL-CM2p1,44.445,48.679,45.247,40.941,52.536
GFDL-CM3,37.227,40.129,40.053,41.858,40.362
GFDL-ESM2G,49.774,52.169,48.378,50.774,53.963
GFDL-ESM2M,42.23,46.701,41.467,43.067,46.532
GISS-E2-H,50.583,50.486,48.834,57.824,51.788
GISS-E2-H-CC,42.107,43.407,38.4,51.801,41.356
GISS-E2-R,46.537,47.174,44.357,54.528,45.887
GISS-E2-R-CC,46.287,45.945,44.378,54.208,46.134
HadCM3,46.843,49.353,47.453,49.756,49.945
HadGEM2-AO,15.764,20.121,15.761,23.654,21.373
HadGEM2-CC,33.737,34.945,31.661,35.669,41.718
HadGEM2-ES,26.172,29.796,25.819,29.156,31.909
inmcm4,36.884,39.113,36.089,41.719,38.401
IPSL-CM5A-LR,67.046,68.151,65.512,65.473,77.715
IPSL-CM5A-MR,44.649,48.563,41.387,48.468,49.036
IPSL-CM5B-LR,74.844,72.098,77.695,74.881,82.371
MIROC-ESM,37.309,39.666,37.454,40.416,48.063
MIROC-ESM-CHEM,36.475,38.316,39.202,39.743,46.711
MIROC4h,19.729,23.086,22.54,29.065,25.505
MIROC5,36.3,36.261,36.634,44.606,39.735
MPI-ESM-LR,25.043,25.881,26.398,28.434,29.147
MPI-ESM-MR,23.75,24.722,24.395,26.089,30.883
MPI-ESM-P,25.338,25.399,26.154,28.324,32.703
NorESM1-M,18.259,18.65,23.545,23.753,24.005
NorESM1-ME,24.819,24.754,29.609,29.739,26.551
