model name,NAM_DJF,NAM_MAM,NAM_JJA,NAM_SON,NAO_DJF,NAO_MAM,NAO_JJA,NAO_SON,SAM_DJF,SAM_MAM,SAM_JJA,SAM_SON,PNA_DJF,PNA_MAM,PNA_JJA,PNA_SON,PDO_monthly
ACCESS1-0_r1i1p1,0.798,1.067,1.025,0.889,0.922,1.132,0.968,1.178,1.343,1.005,1.008,1.158,0.853,1.123,1.25,0.957,0.932
ACCESS1-0_r2i1p1,0.952,1.038,0.893,0.956,1.017,1.04,0.869,1.253,1.504,1.119,1.023,1.035,0.837,1.219,1.041,1.137,0.944
ACCESS1-3_r1i1p1,0.947,1.224,1.163,1.212,0.854,1.18,1.091,1.174,1.519,1.011,0.961,1.129,0.962,1.208,1.047,1.039,1.029
ACCESS1-3_r2i1p1,0.975,1.108,1.068,1.128,0.914,1.035,0.975,1.143,1.488,1.16,1.076,1.173,0.895,1.061,0.912,0.989,0.979
ACCESS1-3_r3i1p1,1.059,1.149,1.135,1.19,0.903,1.108,1.091,1.182,1.658,1.082,0.951,1.278,1.062,1.177,1.041,1.115,1.002
BCC-CSM1-1_r1i1p1,1.313,1.457,1.392,1.636,1.018,1.261,1.318,1.394,1.609,1.147,0.912,1.117,1.397,1.47,1.415,1.454,1.09
BCC-CSM1-1_r2i1p1,1.291,1.593,1.539,1.612,1.108,1.382,1.376,1.287,1.529,0.994,0.979,1.199,0.966,1.553,1.585,1.497,1.16
BCC-CSM1-1_r3i1p1,1.317,1.572,1.639,1.41,1.107,1.292,1.412,1.292,1.393,1.061,1.039,1.034,1.291,1.64,1.645,1.301,1.063
BCC-CSM1-1-M_r1i1p1,1.421,1.869,1.551,1.826,0.993,1.51,1.377,1.377,1.318,0.902,1.105,1.306,1.387,1.81,1.702,1.604,1.167
BCC-CSM1-1-M_r2i1p1,1.478,1.832,1.616,1.621,1.021,1.354,1.278,1.195,1.373,0.972,1.193,1.246,1.487,1.877,1.788,1.568,1.087
BCC-CSM1-1-M_r3i1p1,1.464,1.683,1.563,1.758,1.122,1.388,1.319,1.374,1.293,1.078,1.012,1.169,1.414,1.783,1.696,1.658,1.366
BNU-ESM_r1i1p1,1.43,1.894,1.771,1.645,1.159,1.424,1.456,1.527,1.822,1.157,1.054,1.714,1.351,1.885,1.929,1.311,1.356
CanESM2_r1i1p1,1.157,1.008,0.889,1.107,0.998,0.905,0.856,1.07,1.362,1.186,0.963,0.999,1.158,1.097,1.037,0.997,1.12
CanESM2_r2i1p1,1.143,1.168,1.151,1.098,0.964,1.07,1.073,1.102,1.364,1.154,1.004,1.223,1.16,1.14,1.203,1.001,1.172
