model_name,ann,son,mam,jja,djf
ACCESS1-0,2.436,3.711,2.706,4.213,2.727
ACCESS1-3,3.04,4.617,3.334,4.397,3.651
bcc-csm1-1,3.267,3.734,3.809,4.358,4.187
bcc-csm1-1-m,4.589,5.233,4.822,6.828,5.488
BNU-ESM,3.74,4.163,4.372,3.977,5.483
CanCM4,3.358,4.215,3.944,3.727,4.396
CanESM2,3.478,3.998,4.121,3.949,4.345
CCSM4,2.661,2.805,3.561,3.592,3.95
CESM1-BGC,2.744,2.982,3.703,3.674,3.925
CESM1-CAM5,2.324,2.585,3.072,2.997,3.538
CESM1-FASTCHEM,2.857,3.047,3.753,3.593,4.25
CESM1-WACCM,3.144,3.541,3.659,4.433,4.454
CMCC-CESM,5.747,5.985,6.543,6.371,6.456
CMCC-CM,3.184,3.496,3.753,4.272,4.17
CMCC-CMS,3.374,3.794,4.336,4.522,3.65
CNRM-CM5,2.381,2.947,3.379,3.735,3.528
CSIRO-Mk3-6-0,3.657,4.633,3.973,4.199,5.057
FGOALS-g2,3.719,4.534,4.176,4.603,5.341
FIO-ESM,4.269,4.483,4.849,4.434,5.781
GFDL-CM2p1,2.463,3.369,3.034,3.109,3.674
GFDL-CM3,3.045,3.633,4.775,4.193,3.94
GFDL-ESM2G,2.256,2.96,3.023,2.956,3.619
GFDL-ESM2M,2.544,3.213,3.362,3.476,3.82
GISS-E2-H,4.777,4.88,5.077,6.322,5.781
GISS-E2-H-CC,4.812,5.033,4.819,6.609,5.796
GISS-E2-R,4.954,4.726,5.334,6.968,5.739
GISS-E2-R-CC,4.984,4.652,5.497,6.812,5.844
HadCM3,3.356,4.985,3.612,3.972,4.384
HadGEM2-AO,2.166,3.246,2.946,4.439,2.583
HadGEM2-CC,2.436,3.342,2.878,4.482,3.092
HadGEM2-ES,2.064,3.192,2.84,4.255,2.549
inmcm4,3.443,4.073,4.318,4.415,4.377
IPSL-CM5A-LR,5.151,5.765,5.663,6.034,5.87
IPSL-CM5A-MR,4.476,5.287,4.983,5.463,4.967
IPSL-CM5B-LR,6.15,6.771,6.505,8.397,6.021
MIROC-ESM,4.304,4.985,4.639,5.317,5.839
MIROC-ESM-CHEM,4.207,4.929,4.641,5.191,5.653
MIROC4h,4.131,4.811,4.705,4.983,4.821
MIROC5,3.334,4.012,3.776,5.078,4.275
MPI-ESM-LR,2.505,3.201,3.226,2.944,2.97
MPI-ESM-MR,2.374,3.119,3.185,2.714,3.315
MPI-ESM-P,2.488,3.16,3.253,2.941,3.188
NorESM1-M,3.03,3.482,3.98,4.769,3.314
NorESM1-ME,3.088,3.534,3.93,4.73,3.411
