model name,BiasPrLatRmse,BiasPrLonRmse,BiasSstLatRmse,BiasSstLonRmse,BiasTauxLatRmse,BiasTauxLonRmse,NinaSstLonRmse,NinaSstTsRmse,NinoSstLonRmse,NinoSstTsRmse,SeasonalPrLatRmse,SeasonalSstLatRmse,SeasonalSstLonRmse
ACCESS1-0,1.67,1.45,0.66,0.68,11.38,10.15,0.27,0.31,0.38,0.28,1.22,0.13,0.28
ACCESS1-3,1.35,2.06,0.54,0.73,11.47,10.27,0.32,0.37,0.5,0.36,1.33,0.19,0.25
BCC-CSM1-1,2.44,1.7,0.66,0.97,5.82,12.63,0.23,0.47,0.45,0.4,1.56,0.21,0.24
BCC-CSM1-1-M,3.13,1.29,1.26,0.59,9.49,6.99,0.27,0.49,0.28,0.57,1.72,0.2,0.2
CanCM4,0.74,2.01,0.31,1.1,9.86,9.3,0.51,0.32,0.61,0.33,0.99,0.19,0.34
CanESM2,0.85,2.06,0.31,1.16,8.92,9.25,0.34,0.37,0.62,0.27,1.1,0.2,0.34
CCSM4,1.34,1.54,0.4,0.43,3.31,6.46,0.29,0.26,0.33,0.38,1.78,0.18,0.22
CESM1-BGC,1.48,1.45,0.46,0.38,3.67,6.62,0.27,0.26,0.43,0.28,1.88,0.19,0.21
CESM1-CAM5,1.42,1.74,0.69,0.95,4.72,6.95,0.41,0.3,0.56,0.27,1.4,0.2,0.2
CESM1-FASTCHEM,1.37,1.42,0.43,0.4,3.34,6.66,0.3,0.23,0.4,0.36,1.84,0.18,0.22
CESM1-WACCM,1.73,1.72,0.44,0.57,5.5,7.04,0.39,0.3,0.39,0.28,1.55,0.21,0.14
CMCC-CESM,2.43,1.95,1.24,0.91,3.88,7.83,0.27,0.44,0.44,0.54,1.41,0.09,0.18
CMCC-CM,2.0,1.52,0.58,0.36,7.04,10.58,0.23,0.38,0.48,0.42,1.43,0.17,0.26
CMCC-CMS,2.04,1.47,0.67,0.38,3.03,4.26,0.23,0.34,0.37,0.29,1.43,0.2,0.2
CNRM-CM5,1.83,1.25,0.48,1.04,6.82,7.88,0.16,0.33,0.28,0.39,0.97,0.43,0.22
CNRM-CM5-2,1.73,1.32,0.71,1.16,6.21,7.56,0.22,0.32,0.3,0.37,1.0,0.46,0.22
CSIRO-Mk3-6-0,1.26,3.69,1.51,2.29,7.71,14.95,0.72,0.33,0.92,0.36,1.01,0.28,0.24
FGOALS-g2,1.89,0.99,0.22,1.23,5.91,11.72,0.29,0.24,0.43,0.36,0.92,0.26,0.24
GFDL-CM3,2.2,2.12,0.77,1.0,4.67,7.96,0.38,0.53,0.37,0.39,2.26,0.19,0.15
GFDL-ESM2G,2.31,3.6,1.3,1.57,9.42,17.17,0.39,0.36,0.7,0.3,1.61,0.44,0.3
GFDL-ESM2M,2.24,1.96,0.57,1.05,6.95,11.09,0.6,0.55,0.6,0.65,1.83,0.21,0.09
GISS-E2-H,3.41,1.6,1.07,1.01,13.45,18.06,0.42,0.26,0.62,0.37,1.03,0.25,0.32
GISS-E2-H-CC,3.62,1.62,1.18,1.18,12.85,19.28,0.51,0.37,0.6,0.45,1.06,0.25,0.3
GISS-E2-R,2.41,1.99,1.1,1.18,7.9,14.69,0.25,0.27,0.47,0.31,0.78,0.17,0.29
GISS-E2-R-CC,2.45,2.02,1.12,1.2,8.12,15.03,0.29,0.3,0.43,0.56,0.79,0.17,0.3
HadCM3,0.89,2.99,0.67,1.18,6.94,15.93,0.41,0.33,0.63,0.36,0.53,0.19,0.3
HadGEM2-AO,1.18,1.31,0.64,0.74,8.14,12.78,0.27,0.41,0.53,0.48,1.72,0.2,0.18
HadGEM2-CC,1.0,1.21,1.04,1.15,6.81,11.8,0.34,0.39,0.49,0.4,1.52,0.19,0.19
HadGEM2-ES,1.08,1.45,0.97,1.05,7.98,12.86,0.27,0.42,0.49,0.39,1.6,0.19,0.19
INMCM4,2.32,2.61,0.82,1.41,8.17,12.13,0.29,0.37,0.76,0.39,1.04,0.36,0.41
IPSL-CM5A-LR,1.82,3.08,0.97,1.24,5.98,9.22,0.31,0.27,0.58,0.32,1.66,0.34,0.1
IPSL-CM5A-MR,1.72,3.32,0.78,1.01,6.8,8.16,0.37,0.29,0.69,0.3,1.52,0.32,0.12
IPSL-CM5B-LR,1.54,1.76,0.38,0.91,8.04,7.16,0.17,0.21,0.45,0.39,1.19,0.21,0.24
MIROC-ESM,0.74,2.17,1.53,1.96,12.19,16.99,0.46,0.37,0.86,0.45,0.37,0.3,0.57
MIROC-ESM-CHEM,0.74,2.15,1.54,1.95,11.95,16.88,0.44,0.49,0.85,0.5,0.37,0.29,0.57
MIROC4h,1.46,1.67,0.61,1.03,8.79,11.66,0.34,0.5,0.59,0.46,1.35,0.4,0.29
MIROC5,0.89,1.89,0.72,0.98,5.83,11.53,0.45,0.51,0.71,0.75,0.74,0.1,0.2
MPI-ESM-LR,1.96,3.6,1.1,1.45,8.22,8.75,0.36,0.32,0.64,0.41,1.56,0.27,0.22
MPI-ESM-MR,2.03,3.19,1.06,1.22,6.37,10.3,0.3,0.31,0.63,0.37,1.62,0.4,0.2
MPI-ESM-P,1.93,3.62,1.1,1.47,8.53,9.04,0.35,0.3,0.55,0.39,1.57,0.26,0.22
NorESM1-M,1.25,0.93,0.94,0.81,9.05,9.97,0.24,0.28,0.38,0.29,1.52,0.26,0.19
NorESM1-ME,1.23,1.1,1.19,0.99,10.08,9.85,0.24,0.3,0.32,0.35,1.41,0.23,0.14
