model_name,ann,son,mam,jja,djf
ACCESS1-0,8.082,9.136,10.926,10.319,10.277
ACCESS1-3,8.685,10.201,11.785,12.221,11.398
bcc-csm1-1,9.411,10.879,11.29,11.553,10.978
bcc-csm1-1-m,12.147,13.094,14.837,14.927,13.67
BNU-ESM,8.548,10.076,11.838,11.126,10.309
CanCM4,9.412,12.265,11.589,11.159,10.68
CanESM2,9.5,11.663,12.24,11.61,11.15
CCSM4,7.822,8.948,11.588,9.932,10.001
CESM1-BGC,8.114,9.207,12.295,10.35,10.119
CESM1-CAM5,6.818,8.101,10.485,9.31,9.236
CESM1-CAM5-1-FV2,8.237,9.547,12.907,11.584,10.779
CESM1-FASTCHEM,8.138,9.447,12.062,10.036,10.237
CESM1-WACCM,10.519,11.344,12.71,14.076,12.487
CMCC-CESM,13.071,13.039,15.514,17.329,13.714
CMCC-CM,7.979,9.582,11.309,10.847,10.331
CMCC-CMS,8.572,9.867,12.13,12.176,10.171
CNRM-CM5,8.413,9.019,11.917,10.711,10.15
CSIRO-Mk3-6-0,10.863,11.72,12.4,14.121,12.948
FGOALS-g2,11.348,12.697,12.778,13.701,12.606
FIO-ESM,9.227,9.983,13.035,12.679,11.595
GFDL-CM2p1,8.772,11.605,11.525,11.693,9.517
GFDL-CM3,10.233,12.859,16.248,14.091,12.636
GFDL-ESM2G,9.25,11.361,12.565,12.041,10.638
GFDL-ESM2M,8.479,10.654,12.139,11.478,9.929
GISS-E2-H,11.321,12.292,12.653,16.631,12.994
GISS-E2-H-CC,10.911,11.654,12.216,16.472,12.838
GISS-E2-R,10.279,10.824,11.787,15.489,12.216
GISS-E2-R-CC,10.332,10.787,11.82,15.463,12.456
HadCM3,9.339,10.634,10.945,12.493,10.546
HadGEM2-AO,7.855,9.603,11.712,9.673,10.052
HadGEM2-CC,7.695,9.363,11.275,9.134,10.1
HadGEM2-ES,7.458,9.29,10.704,9.287,9.964
inmcm4,11.37,13.319,13.18,14.781,12.577
IPSL-CM5A-LR,11.778,13.212,14.843,15.116,13.424
IPSL-CM5A-MR,11.914,13.227,15.118,14.94,13.431
IPSL-CM5B-LR,10.355,11.247,14.545,14.42,12.505
MIROC-ESM,9.659,11.708,10.814,12.886,12.005
MIROC-ESM-CHEM,9.535,11.576,10.511,12.673,12.077
MIROC4h,8.395,10.039,12.332,10.908,10.636
MIROC5,8.331,9.465,10.381,10.779,9.052
MPI-ESM-LR,9.258,9.454,11.8,12.345,10.383
MPI-ESM-MR,8.985,9.141,11.721,11.899,10.38
MPI-ESM-P,9.44,9.444,11.797,12.443,10.856
NorESM1-M,11.886,12.603,14.785,14.977,13.872
NorESM1-ME,12.003,12.619,14.381,15.076,13.77
