model_name,ann,son,mam,jja,djf
ACCESS1-0,9.644,10.594,11.075,13.8,15.501
ACCESS1-3,11.82,13.55,13.867,16.219,17.196
bcc-csm1-1,12.858,14.545,16.012,18.138,15.863
bcc-csm1-1-m,14.792,16.136,18.01,19.049,18.457
BNU-ESM,13.303,15.446,17.416,18.899,16.376
CanESM2,12.081,14.276,14.75,16.808,15.636
CCSM4,12.753,14.748,15.635,15.742,18.056
CESM1-BGC,12.971,15.229,16.091,16.214,17.952
CESM1-CAM5,11.553,13.712,14.313,12.968,16.71
CESM1-FASTCHEM,13.038,15.253,16.12,15.819,18.315
CESM1-WACCM,15.514,16.596,17.474,20.988,20.085
CMCC-CESM,18.01,18.266,19.826,27.666,20.663
CNRM-CM5,15.728,19.15,17.392,18.853,22.789
CSIRO-Mk3-6-0,17.384,21.063,17.639,23.971,18.635
FIO-ESM,13.526,14.062,17.388,18.828,17.549
GFDL-CM3,12.626,15.241,17.326,17.137,16.685
GFDL-ESM2G,13.163,16.05,15.922,16.419,20.451
GFDL-ESM2M,12.453,15.517,14.761,15.754,19.604
GISS-E2-H,17.118,20.165,18.2,20.131,23.647
GISS-E2-H-CC,16.449,18.689,17.654,19.903,22.819
GISS-E2-R,16.632,19.67,18.103,19.941,22.234
GISS-E2-R-CC,16.729,19.942,18.103,19.978,22.164
HadCM3,12.589,13.926,13.972,18.393,16.844
HadGEM2-AO,10.148,12.502,11.917,12.738,17.189
HadGEM2-CC,10.922,13.453,12.398,13.126,18.113
HadGEM2-ES,10.058,12.101,11.908,12.842,16.548
inmcm4,13.667,17.924,15.967,17.312,17.541
IPSL-CM5A-LR,17.702,20.699,19.953,20.992,21.379
IPSL-CM5A-MR,16.899,20.086,19.133,20.228,20.01
IPSL-CM5B-LR,13.639,16.118,18.033,18.375,17.157
MIROC-ESM,18.732,19.851,20.427,26.231,21.393
MIROC-ESM-CHEM,18.787,19.856,20.38,26.466,21.349
MIROC4h,13.794,14.24,15.816,18.912,15.591
MIROC5,18.412,21.326,19.295,21.715,21.719
MPI-ESM-LR,13.358,15.994,14.499,19.812,17.381
MPI-ESM-MR,12.945,15.869,14.366,18.82,17.04
MPI-ESM-P,13.376,16.217,14.319,19.564,17.789
NorESM1-M,14.71,15.857,17.861,19.939,18.978
NorESM1-ME,14.741,15.661,17.594,20.147,18.537
