model_name,ann,son,mam,jja,djf
ACCESS1-0,8.99,11.335,10.626,12.363,13.493
ACCESS1-3,11.129,14.286,12.608,14.198,17.717
bcc-csm1-1,12.316,14.125,16.578,17.035,15.2
bcc-csm1-1-m,13.935,15.82,17.765,18.205,17.762
BNU-ESM,14.075,18.332,16.967,18.325,17.906
CanESM2,11.058,14.885,13.528,15.928,15.294
CCSM4,13.427,16.72,15.74,15.439,20.287
CESM1-BGC,13.478,16.964,16.122,15.761,19.79
CESM1-CAM5,13.291,16.049,15.303,15.659,19.441
CESM1-FASTCHEM,13.471,16.86,15.9,15.339,20.378
CESM1-WACCM,17.038,18.431,18.798,21.837,22.443
CMCC-CESM,15.65,17.158,17.446,23.959,18.845
CNRM-CM5,13.727,18.358,16.029,18.187,18.084
CSIRO-Mk3-6-0,15.687,20.193,14.756,21.565,20.225
FIO-ESM,13.798,17.022,16.01,17.425,19.036
GFDL-CM3,10.433,13.413,15.199,14.351,14.056
GFDL-ESM2G,11.018,13.732,14.335,15.648,16.383
GFDL-ESM2M,10.675,13.47,13.313,15.537,15.744
GISS-E2-H,18.346,21.752,19.896,19.67,23.266
GISS-E2-H-CC,18.177,21.708,19.723,19.621,22.849
GISS-E2-R,17.814,21.449,19.694,19.48,21.856
GISS-E2-R-CC,17.904,21.72,19.678,19.534,21.832
HadCM3,11.344,13.686,12.843,18.286,13.931
HadGEM2-AO,8.901,11.691,11.343,11.526,14.149
HadGEM2-CC,10.067,13.346,11.984,12.123,16.084
HadGEM2-ES,9.283,12.344,11.316,11.89,14.664
inmcm4,12.622,16.345,14.174,17.475,15.24
IPSL-CM5A-LR,18.01,20.921,20.062,21.334,21.983
IPSL-CM5A-MR,18.141,21.404,20.221,21.192,22.073
IPSL-CM5B-LR,13.705,16.886,17.909,18.669,16.03
MIROC-ESM,17.958,19.768,18.456,25.22,19.674
MIROC-ESM-CHEM,18.143,20.08,18.529,25.46,19.851
MIROC4h,12.792,13.521,14.787,17.86,13.216
MIROC5,17.445,18.904,19.32,21.346,18.406
MPI-ESM-LR,12.303,14.217,14.606,19.031,15.127
MPI-ESM-MR,12.48,14.739,15.159,18.349,15.047
MPI-ESM-P,12.593,14.418,15.279,19.156,15.409
NorESM1-M,15.789,17.108,18.806,19.963,20.593
NorESM1-ME,15.787,17.393,18.259,19.889,20.45
