model_name,ann,son,mam,jja,djf
ACCESS1-0,9.833,10.633,10.695,12.246,14.305
ACCESS1-3,11.842,13.341,13.181,14.666,15.98
bcc-csm1-1,11.485,13.28,14.115,15.559,14.52
bcc-csm1-1-m,10.541,12.166,13.452,14.361,13.75
BNU-ESM,11.51,13.683,14.207,16.545,13.867
CanESM2,10.655,12.606,12.475,13.69,12.902
CCSM4,9.909,11.116,11.425,13.115,13.784
CESM1-BGC,9.985,11.184,11.76,13.366,13.552
CESM1-CAM5,10.645,12.097,12.457,11.98,13.458
CESM1-FASTCHEM,9.954,11.132,11.634,13.151,13.692
CESM1-WACCM,11.862,13.169,13.647,16.013,14.78
CMCC-CESM,15.228,16.352,17.533,22.357,18.494
CNRM-CM5,13.529,16.609,14.083,15.942,19.26
CSIRO-Mk3-6-0,17.406,21.003,18.42,21.924,19.718
FIO-ESM,10.943,11.47,13.531,14.271,14.351
GFDL-CM3,8.534,10.874,11.075,12.905,12.155
GFDL-ESM2G,10.81,14.905,13.401,13.483,17.053
GFDL-ESM2M,10.62,14.457,12.924,13.211,16.482
GISS-E2-H,14.442,16.876,16.432,19.102,20.007
GISS-E2-H-CC,14.262,16.213,16.088,18.534,19.44
GISS-E2-R,14.297,16.943,16.213,18.3,19.494
GISS-E2-R-CC,14.338,17.074,16.226,18.27,19.4
HadCM3,11.231,12.432,13.853,15.668,14.493
HadGEM2-AO,10.443,12.418,11.61,11.831,15.869
HadGEM2-CC,10.807,13.087,12.358,11.906,16.709
HadGEM2-ES,10.689,12.434,12.185,11.843,15.758
inmcm4,11.917,15.386,14.802,13.934,15.781
IPSL-CM5A-LR,11.602,14.943,13.357,15.421,15.892
IPSL-CM5A-MR,11.083,14.295,13.033,14.658,14.804
IPSL-CM5B-LR,11.109,13.189,14.649,15.556,14.019
MIROC-ESM,14.905,17.522,16.802,21.284,16.617
MIROC-ESM-CHEM,14.962,17.54,16.789,21.349,16.674
MIROC4h,13.092,15.496,15.46,18.194,14.46
MIROC5,14.909,18.465,15.255,17.312,18.863
MPI-ESM-LR,10.107,13.213,10.373,15.145,13.641
MPI-ESM-MR,10.09,12.964,10.677,14.674,13.552
MPI-ESM-P,10.108,13.408,10.201,14.978,13.857
NorESM1-M,10.372,12.062,12.354,14.276,12.884
NorESM1-ME,10.278,11.981,12.363,14.591,12.596
