model_name,ann,son,mam,jja,djf
ACCESS1-0,2.347,2.677,2.673,2.33,2.43
ACCESS1-3,1.925,2.413,2.285,1.985,2.156
bcc-csm1-1,5.21,5.072,5.701,5.087,5.435
bcc-csm1-1-m,3.636,3.317,4.215,3.589,3.964
BNU-ESM,4.63,4.207,5.313,4.526,5.087
CanCM4,2.087,1.947,2.774,2.052,2.572
CanESM2,2.41,2.301,3.049,2.338,2.72
CCSM4,3.154,2.97,3.683,3.373,3.216
CESM1-BGC,3.178,3.011,3.828,3.38,3.137
CESM1-CAM5,3.994,3.86,4.521,4.006,3.818
CESM1-FASTCHEM,3.347,3.017,3.987,3.377,3.719
CESM1-WACCM,4.709,4.754,5.121,4.306,5.201
CMCC-CESM,5.18,4.955,5.748,4.759,5.716
CMCC-CM,3.183,2.967,3.564,3.186,3.561
CMCC-CMS,3.049,2.814,3.417,3.195,3.426
CNRM-CM5,5.733,5.723,5.982,5.686,5.869
CSIRO-Mk3-6-0,2.78,3.135,3.067,2.927,3.802
FGOALS-g2,7.163,7.087,7.445,7.053,7.647
FIO-ESM,5.18,4.983,5.733,5.346,5.328
GFDL-CM2p1,1.961,1.881,2.351,1.542,2.808
GFDL-CM3,1.557,1.584,2.08,1.962,2.367
GFDL-ESM2G,1.993,1.972,2.321,1.679,2.699
GFDL-ESM2M,1.873,1.843,2.306,1.663,2.52
GISS-E2-H,2.392,2.386,2.826,2.83,2.852
GISS-E2-H-CC,2.198,2.272,2.638,2.688,2.656
GISS-E2-R,2.134,2.177,2.553,2.698,2.474
GISS-E2-R-CC,2.121,2.243,2.537,2.64,2.477
HadCM3,3.419,3.434,3.876,3.38,4.104
HadGEM2-AO,1.957,2.373,2.411,2.068,1.916
HadGEM2-CC,2.182,2.421,2.409,2.376,2.1
HadGEM2-ES,2.225,2.563,2.678,2.323,2.184
inmcm4,2.539,2.827,2.966,2.241,3.379
IPSL-CM5A-LR,3.517,3.483,4.272,3.303,3.855
IPSL-CM5A-MR,3.144,3.14,3.874,2.96,3.283
IPSL-CM5B-LR,2.908,3.31,3.241,3.251,2.968
MIROC4h,4.586,4.371,4.962,4.631,5.382
MIROC5,4.09,4.222,4.375,4.146,4.559
MPI-ESM-LR,3.898,3.707,4.501,3.61,4.09
MPI-ESM-MR,3.552,3.308,4.169,3.326,3.627
MPI-ESM-P,3.952,3.727,4.534,3.656,4.197
NorESM1-M,4.048,3.936,4.676,4.335,3.94
NorESM1-ME,4.136,4.147,4.637,4.43,3.955
