model_name,ann,son,mam,jja,djf
ACCESS1-0,1.485,1.562,1.75,1.837,2.024
ACCESS1-3,1.596,1.833,1.747,1.817,1.887
bcc-csm1-1,2.012,1.932,2.325,2.341,2.526
bcc-csm1-1-m,2.013,1.91,2.372,2.367,2.463
BNU-ESM,1.967,2.018,2.331,2.933,2.475
CanCM4,1.82,2.108,1.87,2.167,2.432
CanESM2,1.846,2.094,1.797,2.355,2.336
CCSM4,1.656,1.659,1.977,2.032,1.806
CESM1-BGC,1.592,1.615,1.919,1.942,1.745
CESM1-CAM5,1.774,1.977,1.859,1.865,2.155
CESM1-FASTCHEM,1.612,1.571,1.962,1.991,1.741
CESM1-WACCM,1.875,1.942,2.133,2.033,2.2
CMCC-CESM,2.463,2.807,2.522,2.537,2.891
CMCC-CM,2.095,2.427,2.161,1.965,2.76
CMCC-CMS,1.852,2.092,2.034,1.952,2.36
CNRM-CM5,1.927,1.838,2.586,1.989,2.364
CSIRO-Mk3-6-0,2.549,2.787,2.491,2.76,3.472
EC-EARTH,1.949,1.922,2.257,2.014,2.272
FGOALS-g2,2.81,3.017,2.916,2.771,3.399
FIO-ESM,1.981,1.93,2.323,2.361,2.092
GFDL-CM2p1,1.835,2.009,2.298,1.788,2.292
GFDL-CM3,1.76,1.791,2.133,2.044,1.979
GFDL-ESM2G,2.103,2.166,2.451,1.992,2.753
GFDL-ESM2M,1.973,1.978,2.414,2.061,2.447
GISS-E2-H,2.429,2.354,2.727,2.759,2.838
GISS-E2-H-CC,1.981,1.973,2.235,2.25,2.523
GISS-E2-R,1.83,1.886,1.969,2.176,2.334
GISS-E2-R-CC,1.865,1.889,2.048,2.176,2.351
HadCM3,2.243,2.316,2.344,2.64,2.806
HadGEM2-AO,1.635,1.62,1.951,1.887,2.285
HadGEM2-CC,2.088,1.951,2.414,2.008,3.067
HadGEM2-ES,1.723,1.634,2.031,1.822,2.527
inmcm4,2.462,2.696,2.65,2.778,2.768
IPSL-CM5A-LR,2.205,2.29,2.526,2.075,2.701
IPSL-CM5A-MR,1.759,1.817,2.167,1.815,2.138
IPSL-CM5B-LR,3.13,2.912,3.513,2.795,4.334
MIROC-ESM,1.891,2.069,2.068,2.168,2.415
MIROC-ESM-CHEM,1.885,2.071,2.065,2.22,2.361
MIROC4h,1.347,1.443,1.575,1.513,1.885
MIROC5,2.029,2.081,2.297,2.64,2.026
MPI-ESM-LR,1.37,1.477,1.627,1.825,1.709
MPI-ESM-MR,1.285,1.337,1.591,1.712,1.697
MPI-ESM-P,1.32,1.439,1.55,1.754,1.688
NorESM1-M,1.761,2.017,1.9,2.025,1.986
NorESM1-ME,2.091,2.284,2.277,2.486,2.182
