model_name,ann,son,mam,jja,djf
ACCESS1-0,0.865,1.149,1.054,1.187,1.308
ACCESS1-3,1.154,1.503,1.336,1.42,1.6
bcc-csm1-1,1.684,1.817,2.033,1.993,2.093
bcc-csm1-1-m,1.889,2.105,2.184,2.495,2.037
BNU-ESM,2.072,2.211,2.337,2.399,2.836
CanCM4,1.432,1.741,1.589,1.642,1.867
CanESM2,1.329,1.592,1.509,1.599,1.733
CCSM4,1.689,1.738,1.95,2.035,2.154
CESM1-BGC,1.715,1.869,1.977,2.086,2.122
CESM1-CAM5,1.083,1.212,1.204,1.51,1.442
CESM1-FASTCHEM,1.765,1.842,2.031,2.022,2.315
CESM1-WACCM,1.878,1.903,1.935,2.248,2.33
CMCC-CESM,1.82,1.84,2.126,2.143,2.259
CMCC-CM,1.058,1.327,1.275,1.309,1.424
CMCC-CMS,1.22,1.522,1.464,1.52,1.492
CNRM-CM5,1.013,1.184,1.518,1.417,1.525
CSIRO-Mk3-6-0,1.445,1.744,1.542,2.036,2.156
FGOALS-g2,2.218,2.417,2.162,2.337,2.952
FIO-ESM,2.189,2.275,2.37,2.325,2.862
GFDL-CM2p1,1.502,1.849,1.702,1.872,1.87
GFDL-CM3,1.356,1.754,1.789,1.787,1.73
GFDL-ESM2G,1.455,1.748,1.639,1.842,1.943
GFDL-ESM2M,1.319,1.574,1.533,1.709,1.791
GISS-E2-H,1.749,1.768,1.781,2.142,2.161
GISS-E2-H-CC,1.581,1.617,1.603,2.017,1.997
GISS-E2-R,1.496,1.598,1.577,1.936,1.805
GISS-E2-R-CC,1.529,1.531,1.668,1.947,1.872
HadCM3,1.503,1.855,1.784,1.766,1.755
HadGEM2-AO,0.907,1.194,1.237,1.33,1.291
HadGEM2-CC,1.021,1.244,1.179,1.423,1.489
HadGEM2-ES,0.929,1.248,1.159,1.375,1.305
inmcm4,1.747,2.08,1.869,2.263,1.949
IPSL-CM5A-LR,2.456,2.648,2.486,2.6,3.15
IPSL-CM5A-MR,2.088,2.422,2.047,2.549,2.363
IPSL-CM5B-LR,2.187,2.212,2.374,2.558,2.695
MIROC-ESM,2.594,2.725,2.603,2.795,3.493
MIROC-ESM-CHEM,2.569,2.716,2.646,2.734,3.445
MIROC4h,1.411,1.807,1.519,1.857,1.86
MIROC5,1.492,1.682,1.543,2.218,1.745
MPI-ESM-LR,1.15,1.399,1.27,1.572,1.492
MPI-ESM-MR,1.16,1.428,1.255,1.595,1.651
MPI-ESM-P,1.158,1.404,1.251,1.602,1.616
NorESM1-M,1.936,1.986,2.268,2.361,2.274
NorESM1-ME,2.008,2.018,2.268,2.403,2.342
